ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score
GLD,1.1253704868290764,1.1253704868290764,1.1253704868290764,0,0,9,0.3452031657598064,0.008541967837639497,0.12528304324105283,0.11132604302966857,0.012369560336629842,0.011141743274578546,-0.10691360254077276,1,0,6,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
AMG,26.67125421337369,26.67125421337369,4.0,1,0,7,0.9954536132298974,0.255436408342415,0.24504237337256443,0.009187508446816631,0.0013125012066880902,0.020182153392330298,-0.008150880445688458,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
BABA,8.149154068825245,8.149154068825245,4.0,1,0,6,0.9881102184755315,0.5636099067236373,0.5748466972617193,0.07054065887167443,0.011756776478612405,0.03474279074680449,-0.0693649782460174,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
REGN,0.12062297873757125,0.12062297873757125,0.12062297873757125,0,0,7,0.06505627729809965,-0.19843163069053915,0.028874075535346058,0.23937458548561324,0.03419636935508761,0.028301022045006608,-0.19843163069134084,1,1,6,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
PTCT,1.557952545547479,1.557952545547479,1.557952545547479,0,0,6,0.6125256720721295,0.05747078971080999,0.1866732921024598,0.1198196264937332,0.019969937748955533,0.034648786717751796,-0.1176231029617838,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ASC,1.4041804288300619,1.4041804288300619,1.4041804288300619,0,0,8,0.5219846224249931,0.045076292044728516,0.17683335527187422,0.12593349945719484,0.015741687432149355,0.030290076335875542,-0.06992931641111677,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
HTHT,2.3911533717146005,2.3911533717146005,2.3911533717146005,0,0,8,0.9314463784931689,0.11929629864325686,0.20869360228572778,0.08727738034473378,0.010909672543091723,0.02506417112299397,-0.06926318010870958,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
BAC,2.946723263419509,2.946723263419509,2.946723263419509,0,0,8,0.9813763742195254,0.11264872409047477,0.17034310895727447,0.05780763706992992,0.00722595463374124,0.019040966584858997,-0.04979990937991141,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
PTGX,1.4207163771820885,1.4207163771820885,1.4207163771820885,0,0,9,0.5332920365120399,0.06866012635048624,0.32127433619347223,0.22613544923773027,0.025126161026414476,0.03381017069281164,-0.11915521537935725,1,0,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ARKK,2.774436300703781,2.774436300703781,2.774436300703781,0,0,9,0.972787894295881,0.15972072271295534,0.2487870044598735,0.08967118992667614,0.00996346554740846,0.03117033603707959,-0.06338953032254913,1,0,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
