ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score,regime
AMG,26.67125421337369,26.67125421337369,4.0,1,0,7,0.9954536132298974,0.255436408342415,0.2450423733725644,0.0091875084468166,0.001312501206688,0.0201821533923302,-0.0081508804456884,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
BABA,8.149154068825245,8.149154068825245,4.0,1,0,6,0.9881102184755316,0.5636099067236373,0.5748466972617193,0.0705406588716744,0.0117567764786124,0.0347427907468044,-0.0693649782460174,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
REGN,1.36507899918393,1.36507899918393,1.36507899918393,0,0,9,0.4797684404115368,0.0489387834620775,0.212074320591616,0.1553568113775086,0.0172618679308342,0.0283010220450066,-0.0649875648609523,1,0,5,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
PTCT,8.435713989330308,8.435713989330308,4.0,1,0,8,0.9976121290783432,0.3876225079973008,0.3934871253849782,0.0466453848343685,0.005830673104296,0.0346487867177517,-0.0266943290182473,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
ASC,1.404180428830062,1.404180428830062,1.404180428830062,0,0,8,0.5219846224249931,0.0450762920447285,0.1768333552718742,0.1259334994571948,0.0157416874321493,0.0302900763358755,-0.0699293164111167,1,0,4,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
HTHT,2.3911533717146005,2.3911533717146005,2.3911533717146005,0,0,8,0.9314463784931688,0.1192962986432568,0.2086936022857277,0.0872773803447337,0.0109096725430917,0.0250641711229939,-0.0692631801087095,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
BAC,2.946723263419509,2.946723263419509,2.946723263419509,0,0,8,0.9813763742195254,0.1126487240904747,0.1703431089572744,0.0578076370699299,0.0072259546337412,0.0190409665848589,-0.0497999093799114,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
PTGX,3.21687583073541,3.21687583073541,3.21687583073541,0,0,8,0.9894680372799836,0.3193786458047483,0.4914559962564016,0.1527743133759843,0.019096789171998,0.0338101706928116,-0.0914809752927633,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
ARKK,4.639239790628088,4.639239790628088,4.0,1,0,8,0.9976121290783432,0.1724206135545529,0.2097784357299969,0.0452182782519193,0.0056522847814899,0.0311703360370795,-0.0336941088932681,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
PBR,1.6651696889615588,1.6651696889615588,1.6651696889615588,0,0,7,0.6683435920163019,0.0521058500590891,0.1422624823367532,0.0854342252803506,0.0122048893257643,0.0238013964313402,-0.0794687194728438,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
