ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades
LVS,6.86136898829827,6.86136898829827,4.0,1,0,5,0.9640611974094735,0.37613406783377656,0.4065991007261684,0.059259180116913016,0.011851836023382602,0.027077205882352334,-0.058940348856896474,1,0,2
SPY,1.6760518880090267,1.6760518880090267,1.6760518880090267,0,0,10,0.6772972742552501,0.042470604060168116,0.11821474685832203,0.07053167488671769,0.007053167488671769,0.010808845804301729,-0.06433659826533755,1,0,6
LGND,1.6855708785608055,1.6855708785608055,1.6855708785608055,0,0,8,0.6819373218110808,0.1026841917050767,0.282050543203747,0.16733235415443984,0.02091654426930498,0.02604453460851075,-0.15877613143863356,1,0,3
ALNY,1.4203925669078659,1.4203925669078659,1.4203925669078659,0,0,8,0.5160611390780946,0.0639198798254601,0.2957189689091616,0.2081952382734086,0.026024404784176076,0.03282743707726729,-0.19422746005579838,1,0,4
JPM,2.2183407281652427,2.2183407281652427,2.2183407281652427,0,0,7,0.8911380743127627,0.07886787278674423,0.15471234563125094,0.06974237260621874,0.009963196086602677,0.01952896671649525,-0.06497117543833553,1,0,3
SCHD,1.8134806382301871,1.8134806382301871,1.8134806382301871,0,0,6,0.7405555233469957,0.029114957317041723,0.06748346363252075,0.037212122484185574,0.006202020414030929,0.010465031124129984,-0.03699878265254719,1,0,2
FROG,0.7743635953537704,0.7743635953537704,0.7743635953537704,0,0,6,0.16137677323612895,-0.10321955174388386,0.2550318562977648,0.3293438093267449,0.054890634887790814,0.03682145716573183,-0.2408056851206991,1,1,4
AIQ,1.3550593440675416,1.3550593440675416,1.3550593440675416,0,0,10,0.4732519324442688,0.04332101046003989,0.21232645549507664,0.15669162861733194,0.015669162861733192,0.01618753855644626,-0.09759257493501006,1,0,5
SNOW,15.353593707171267,15.353593707171267,4.0,1,0,5,0.9640611974094735,0.3721393139441065,0.3678256383069023,0.02395697354783463,0.004791394709566926,0.03493392412935309,-0.023956973548528993,1,0,1
AER,36.582894731542275,36.582894731542275,4.0,1,0,5,0.9640611974094735,0.2183425543278381,0.21155710306163594,0.0057829514207148975,0.0011565902841429794,0.015993156265276066,-0.0057829514215514966,1,0,1
JKHY,1.7281554295995767,1.7281554295995767,1.7281554295995767,0,0,5,0.6775445112047157,0.053616116642299705,0.13861172742803374,0.0802079055239556,0.01604158110479112,0.01755295689943192,-0.07868218029699392,1,0,2
RCL,1.4194987098659928,1.4194987098659928,1.4194987098659928,0,0,7,0.5137803471578825,0.0610408560332405,0.3083538589528202,0.21722729073979236,0.031032470105684624,0.03168839592657445,-0.16537551205671452,1,0,5
TEVA,3.531176054858001,3.531176054858001,3.531176054858001,0,0,7,0.9922339306881014,0.33944730916817223,0.451151726360674,0.1277624562898822,0.01825177946998317,0.030417940876654913,-0.08284350453249589,1,0,3
CX,5.106709456768137,5.106709456768137,4.0,1,0,6,0.9875194543339432,0.32465714928906664,0.37691394304460346,0.07380759493670892,0.01230126582278482,0.025522682445756853,-0.07380759493742339,1,0,1
GE,3.898157845440127,3.898157845440127,3.898157845440127,0,0,8,0.9972213785493582,0.23023587000774093,0.29648954435271624,0.07605888630177844,0.009507360787722305,0.023104900316750426,-0.07230671936842126,1,0,2
XBI,5.490174931272131,5.490174931272131,4.0,1,0,7,0.9952268372521291,0.14956098689186637,0.17565814457967094,0.031994999572621835,0.004570714224660262,0.0214808496811663,-0.026134161389273936,1,0,2
IYW,1.1595499944785383,1.1595499944785383,1.1595499944785383,0,0,9,0.34763353331900515,0.01458716501368329,0.1983291965133044,0.17103979772989011,0.019004421969987792,0.014998556720869754,-0.13574323312463177,1,0,5
STX,3.8452883912645652,3.8452883912645652,3.8452883912645652,0,0,7,0.99459137311047,0.3631470120946594,0.4692397981496498,0.12202980645499391,0.01743282949357056,0.032791495198902246,-0.11225055760211544,1,0,3
RY,2.7570759670361857,2.7570759670361857,2.7570759670361857,0,0,6,0.959570024931016,0.05622976396750845,0.089084607432607,0.032311263272289004,0.005385210545381501,0.01105585189833692,-0.019886841445343695,1,0,3
DELL,1.384803451907598,1.384803451907598,1.384803451907598,0,0,8,0.49239865228352475,0.07455629267606656,0.4088509792335415,0.29524116124229766,0.03690514515528721,0.035961181434598866,-0.20881128863480714,1,0,4
TK,4.136744472361765,4.136744472361765,4.0,1,0,5,0.9640611974094735,0.19789207216199456,0.2579065025975904,0.06234528246081042,0.012469056492162085,0.02772753291356294,-0.06137720241430911,1,0,2
MRK,1.370189973013299,1.370189973013299,1.370189973013299,0,0,10,0.4833194631033984,0.03518684180258491,0.15560324857452762,0.11356326614500582,0.011356326614500582,0.024024957181306282,-0.10912997356285714,1,0,7
WWD,8.07865586280808,8.07865586280808,4.0,1,0,8,0.9976121290783433,0.3580795335921647,0.36719725772100203,0.045452766395394764,0.0056815957994243455,0.022465982002741223,-0.04231869485672979,1,0,2
ARGX,1000000000.0,1000.0,4.0,1,1,5,0.9640611974094735,0.2644305977561612,0.2423213339803134,0.0,0.0,0.023503169358612547,-1.000088900582341e-12,1,0,0
RVMD,7.233373868667434,7.233373868667434,4.0,1,0,7,0.9952268372521291,0.5451620093400513,0.5413409956543289,0.07483934958750546,0.010691335655357922,0.03540526315789378,-0.0734456620855597,1,0,2
PALL,339.52368557932743,339.52368557932743,4.0,1,0,6,0.9875194543339432,0.29476631783186846,0.26826511269242215,0.0007901219387233113,0.00013168698978721855,0.022359361047722758,-0.0007901219396667658,1,0,1
M,2.2135961321113005,2.2135961321113005,2.2135961321113005,0,0,7,0.8899970946105487,0.24316099860027363,0.47114622866521194,0.21284200032272305,0.030406000046103294,0.03566804979252816,-0.19978385816926303,1,0,3
VTR,0.4615808890925564,0.4615808890925564,0.4615808890925564,0,0,7,0.09122642721517024,-0.07610480214739745,0.06443188878643863,0.13958959373969818,0.019941370534242598,0.016170809432759507,-0.13202976387243182,1,1,6
F,0.9391468882196896,0.9391468882196896,0.9391468882196896,0,0,7,0.22869321712080642,-0.02409228832999122,0.17680944614279592,0.18826601925708114,0.02689514560815445,0.023725490196076313,-0.17616989655691184,1,1,5
XLK,3.514723272803808,3.514723272803808,3.514723272803808,0,0,8,0.9944336738242283,0.16129614378001556,0.2258853624678821,0.06426832069987862,0.008033540087484827,0.01789921016483508,-0.056865126123969656,1,0,3
JAZZ,1.894820192621879,1.894820192621879,1.894820192621879,0,0,6,0.7775921937642224,0.07260331966419731,0.16447825697521845,0.08680415039678697,0.014467358399464496,0.025302121433796454,-0.04873685666665217,1,0,4
AMAT,1000000000.0,1000.0,4.0,1,1,5,0.9640611974094735,0.3348122854799931,0.29980143704314716,0.0,0.0,0.03398310916484184,-1.000088900582341e-12,1,0,0
SU,9.080376530199976,9.080376530199976,4.0,1,0,7,0.9952268372521291,0.22103171999862958,0.23339973489974525,0.025703750733627906,0.0036719643905182725,0.020194323702377358,-0.020343848400747766,1,0,3
SBGI,3.66083149078273,3.66083149078273,3.66083149078273,0,0,6,0.9857323663298908,0.2467281369541201,0.32883235880776046,0.08982450015404891,0.01497075002567482,0.03544436146377631,-0.043940414834171326,1,0,3
LUV,3.5127721518527397,3.5127721518527397,3.5127721518527397,0,0,7,0.9920303410690111,0.314590833156025,0.43100602506954044,0.12269683498891755,0.017528119284131078,0.030822311673374615,-0.1022128805627397,1,0,3
bidu,0.7037031861143176,0.7037031861143176,0.7037031861143176,0,0,8,0.1436608312071853,-0.07880151296247029,0.15823941036510072,0.22486669591317512,0.02810833698914689,0.03623120513789168,-0.2079043297025155,1,1,6
ICE,1.0573207205230608,1.0573207205230608,1.0573207205230608,0,0,6,0.2833670466668602,-0.001447328201906073,0.10527122862385707,0.09956414036015389,0.01659402339335898,0.01485707672723059,-0.09671940188772465,1,1,4
IQV,0.6209015336105307,0.6209015336105307,0.6209015336105307,0,0,8,0.12239733062041341,-0.09014171421063422,0.13093903147278374,0.21088534072604997,0.026360667590756247,0.025938577414734904,-0.18752387040823715,1,1,6
UHS,1.7888571335401438,1.7888571335401438,1.7888571335401438,0,0,6,0.7284853317006348,0.06766875318140864,0.1701195225383238,0.0950995578957486,0.0158499263159581,0.027130756717338726,-0.08409026458187785,1,0,4
DINO,3.2466365546193514,3.2466365546193514,3.2466365546193514,0,0,7,0.9877676800090481,0.20976124011860686,0.30452613479718343,0.09379742070725477,0.013399631529607825,0.029272475795296533,-0.05533780532339616,1,0,2
GS,12.313462990274893,12.313462990274893,4.0,1,0,6,0.9875194543339432,0.3308356262951886,0.32920226563765403,0.026735148828372347,0.0044558581380620575,0.021934679371941008,-0.026735148829149624,1,0,1
NTRA,2.9425126535898896,2.9425126535898896,2.9425126535898896,0,0,8,0.9802616539738055,0.2530180759480307,0.3759734225509467,0.12777291614778818,0.015971614518473523,0.0327498063516652,-0.07178995327188675,1,0,2
GOOGL,2.3817933220209926,2.3817933220209926,2.3817933220209926,0,0,8,0.9265734210038196,0.14040577619968198,0.24419578063575884,0.10252601616522904,0.01281575202065363,0.025997324909644418,-0.07745333712105884,1,0,2
EQNR,1.2663386704757602,1.2663386704757602,1.2663386704757602,0,0,4,0.35594619924694826,0.013166554135976227,0.08095425297487885,0.06392780609350304,0.01598195152337576,0.022283737024220523,-0.06271097842788664,1,0,3
XPEL,3.153482037397161,3.153482037397161,3.153482037397161,0,0,5,0.9544759905465908,0.2253593716695903,0.3457295649412514,0.1096342268138022,0.02192684536276044,0.032175835609311136,-0.10727483481215028,1,0,3
CAT,12.15717045712488,12.15717045712488,4.0,1,0,10,0.9985552596533503,0.4774908489633005,0.44641638299260444,0.03672041817353773,0.0036720418173537732,0.023836817642963283,-0.02868262164912816,1,0,3
NVDA,1.6850123283984568,1.6850123283984568,1.6850123283984568,0,0,6,0.673358522411545,0.06940557817863402,0.1971668600839784,0.11701211721778818,0.01950201953629803,0.031073130649137044,-0.11542022095239401,1,0,2
LLY,3.5053168676937974,3.5053168676937974,3.5053168676937974,0,0,7,0.9919451865416116,0.21597026291270627,0.29428774088141985,0.08395467570811546,0.011993525101159351,0.026254885851569654,-0.03421974147267359,1,0,3
AMX,2.3921161774341084,2.3921161774341084,2.3921161774341084,0,0,7,0.9260077032468476,0.1037313581902799,0.1812868218821001,0.07578512431472141,0.010826446330674488,0.01923389437028325,-0.04139823788634878,1,0,3
LMT,0.8584534091784156,0.8584534091784156,0.8584534091784156,0,0,5,0.18152208805527995,-0.02769471372303256,0.12282611117385656,0.14307836611821195,0.02861567322364239,0.019673623301475797,-0.11884058327016267,1,1,3
INCY,3.856587727764012,3.856587727764012,3.856587727764012,0,0,5,0.963490478585795,0.23532061072032162,0.3092323305977389,0.08018288508557457,0.016036577017114913,0.027744294909303302,-0.08018288508633353,1,0,1
META,1.991808716413834,1.991808716413834,1.991808716413834,0,0,8,0.8252166486245996,0.1309642989187385,0.2925723249053821,0.14688776211008153,0.01836097026376019,0.024978688424770096,-0.14009086861460807,1,0,4
EIS,2.636697242050968,2.636697242050968,2.636697242050968,0,0,9,0.9602330632159602,0.11507069532936964,0.18251773795430404,0.06922210674909786,0.007691345194344206,0.010706938939340611,-0.037276165214946144,1,0,3
GM,0.936841371957241,0.936841371957241,0.936841371957241,0,0,6,0.22410009917620546,-0.012092580186979895,0.09727917606806508,0.10383740404720838,0.017306234007868064,0.024737215909090487,-0.08228631644211304,1,1,4
CTSH,1.2930479349120503,1.2930479349120503,1.2930479349120503,0,0,6,0.4251527827905871,0.032247830415310874,0.20102000844238072,0.15546214723745225,0.02591035787290871,0.020151471849099427,-0.14721095681290974,1,0,4
TSM,4.457566474621412,4.457566474621412,4.0,1,0,7,0.9952268372521291,0.31193837812382164,0.38108317252780904,0.0854913044365031,0.012213043490929014,0.028402385942285915,-0.05228889005421855,1,0,3
PBBK,1.5544359811389836,1.5544359811389836,1.5544359811389836,0,0,6,0.5954965978475693,0.013340109912723275,0.03859804724409449,0.02483090182704887,0.0041384836378414785,0.0036205128205126294,-0.015246461373204068,1,0,4
TJX,1.2426449712426542,1.2426449712426542,1.2426449712426542,0,0,8,0.39898305956387026,0.01919293425457891,0.1162289977740936,0.09353355178982758,0.011691693973728448,0.015331248636462683,-0.04972929057035003,1,0,4
AXSM,2.6904871454247754,2.6904871454247754,2.6904871454247754,0,0,7,0.9619941696071411,0.18415194720447814,0.2966014993224682,0.11024081636176732,0.015748688051681045,0.03013367894834268,-0.10764729068579082,1,0,3
FDN,1.7058216482031996,1.7058216482031996,1.7058216482031996,0,0,7,0.6912985476550688,0.05858434897116571,0.1595356960769833,0.09352425339719878,0.013360607628171253,0.01471505131528245,-0.05622616037974626,1,0,5
NFLX,0.4182747434728501,0.4182747434728501,0.4182747434728501,0,0,7,0.08491460645959154,-0.22523244035638224,0.15728307577577993,0.3760281447306394,0.05371830639009134,0.025512031100458188,-0.3305289121906617,1,1,6
IMO,4.625185734106358,4.625185734106358,4.0,1,0,7,0.9952268372521291,0.13660068089764965,0.17105792222459165,0.036984011466437275,0.0052834302094910395,0.021454273725354713,-0.036550355410314816,1,0,3
NRIM,6.2752026467691895,6.2752026467691895,4.0,1,0,4,0.9039702223487516,0.1315578784548257,0.15408942345348672,0.02455529042282327,0.0061388226057058175,0.02122890523582773,-0.014864724385991845,1,0,2
SIMO,2.9324298922023213,2.9324298922023213,2.9324298922023213,0,0,8,0.9797921621089943,0.303728323214288,0.4638177636265157,0.15816840663773826,0.019771050829717283,0.036147791164658036,-0.130232980317754,1,0,5
MLI,65.33895671793552,65.33895671793552,4.0,1,0,9,0.9983365288570824,0.26366332120287206,0.242712590604526,0.0037146689019278674,0.0004127409891030964,0.019136974037600566,-0.0037146689027857116,1,0,1
ACWX,0.9707196742289781,0.9707196742289781,0.9707196742289781,0,0,11,0.24498614018155537,-0.005808425495432701,0.0940587071190021,0.09689584914791279,0.008808713558901162,0.008607172643869742,-0.08425060237076609,1,1,7
