ticker,profit_factor,profit_factor_diag,trend_metric,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd,eligible
EIS,inf,12.0,9.92210740260822,3,0.11988737416051234,0.11680827752162815,0.11628038590615386,0.0,-0.0006000000000000449,True
NTRA,inf,12.0,4.561696999681589,2,0.11849362698040208,0.1302625505107613,0.1306516479778266,0.0,-0.0006000000000000449,True
ASC,inf,12.0,2.8394057646390185,3,0.11777568586168986,0.10909414903957892,0.11146924121883778,0.0,-0.0009880338798636812,True
TARS,3.038457250708151,3.038457250708151,5.810914995936078,3,0.11624639815028993,0.16086070149897536,0.25585451660866887,0.08420540277439768,-0.08530402660501346,True
GE,8.947442517685152,8.947442517685152,5.9572138515209705,3,0.11506175980768828,0.09875804248200093,0.11393702919759657,0.012734033101905183,-0.014510045808327043,True
TD,19.774358400297825,12.0,9.349686609488534,3,0.11475131958456998,0.09688278178629939,0.10397376023634385,0.005258009293225811,-0.007047470770012665,True
REMX,19.13476641786667,12.0,6.539112921213166,2,0.11001266312732311,0.0958916197413866,0.10456156512495586,0.005464480874317013,-0.006657565464481152,True
AEM,10.039595065987292,10.039595065987292,5.298659861976181,2,0.10849741764251182,0.09023708209227865,0.10433411103596991,0.010392262870186759,-0.011579435895957335,True
IMAX,6.089862890295988,6.089862890295988,4.245269161617378,2,0.10803360563259269,0.08936099170329426,0.11253875065946689,0.018479685452162473,-0.019657156482306815,True
TK,6.582991972451055,6.582991972451055,4.058006805934802,2,0.10468394159354426,0.07574932052783279,0.09394687830205416,0.014271151885830842,-0.01545367164118261,True
ARGX,inf,12.0,7.00924211057378,2,0.1040024758157865,0.07184499205910311,0.07318228262845237,0.0,-0.0006000000000000449,True
ACWX,17.83739256277017,12.0,8.138495941442317,3,0.10312672662187485,0.05226698295986809,0.05868879628818391,0.003290211620429206,-0.005083213008230336,True
HCA,inf,12.0,5.780818382390768,2,0.10289618162856252,0.06743340932204678,0.06944893918767331,0.0,-0.0006000000000000449,True
GS,6.676772745143745,6.676772745143745,5.530585347477366,2,0.10244150819738787,0.06674107250677253,0.08271897170791953,0.012389065026675349,-0.014165698303141738,True
NVDA,3.1185431820142866,3.1185431820142866,4.318779934586124,3,0.10045147428971887,0.08393787336993719,0.13291040377689406,0.04261938861178327,-0.04434163994801621,True
AER,inf,12.0,6.636352503582989,2,0.09878342372254031,0.05104626109462762,0.053560347149228346,0.0,-0.0015703245488740691,True
RTX,10.62123502859353,10.62123502859353,6.363683716525671,2,0.09856783494983529,0.05045677646236024,0.05884834720342339,0.005540631296171978,-0.007329584358523933,True
BAC,inf,12.0,4.9557389951658894,2,0.09833864879691823,0.0492748534126104,0.05115377959593515,0.0,-0.0006000000000000449,True
GM,3.978288838231976,3.978288838231976,7.49523932570219,2,0.09826140508377856,0.05819144102720797,0.0834666223450255,0.020980533525594786,-0.022741711435693257,True
MAR,5.696702048717549,5.696702048717549,2.1671854609911776,2,0.09474632558431904,0.039489275354852804,0.05149217615744487,0.009038944939912537,-0.010821604815128838,True
XBI,inf,12.0,6.471984694569177,2,0.0938688573340161,0.031442826869559015,0.033647601218797576,0.0,-0.000600000000000156,True
AXP,4.503274291075563,4.503274291075563,4.967692813049913,3,0.0936038161945084,0.019432132574285887,0.029956896551724153,0.006652247812462084,-0.007117263339545432,True
MLI,inf,12.0,7.436041749380044,2,0.0900811972746551,0.016270235976128644,0.018701695014507157,0.0,-0.0011776431519320285,True
VLO,3.3175082476704176,3.3175082476704176,4.192128085447958,2,0.08840679988682697,0.03702955209965886,0.05802889698108772,0.017491711443923644,-0.01867036768720709,True
BBIO,2.6490566691310966,2.6490566691310966,6.37797557754107,3,0.084481940510026,0.0678463862206482,0.12386399602573585,0.04675777512391377,-0.04870254776180283,True
TEL,2.9229993063603192,2.9229993063603192,7.388499647566354,3,0.08399028317273363,0.02993116972173815,0.05235298501153992,0.01791070729904797,-0.019677407581605078,True
NEM,2.3204670640916594,2.3204670640916594,5.913125727370144,3,0.07687556934379454,0.10072778415270789,0.20067523903433981,0.08648053753475428,-0.08812388616349265,True
LRCX,2.2655934819872896,2.2655934819872896,5.945687351933733,4,0.07677822613775363,0.08169253543194199,0.16417141952710365,0.07246287598916419,-0.04994904679857837,True
M,2.687161013518977,2.687161013518977,5.741519039475738,2,0.07659604565850493,0.04250318475789183,0.07502226179875328,0.027918781725888363,-0.029667478281035664,True
STX,2.2295449617395557,2.2295449617395557,5.2530094257697595,4,0.0746550935178878,0.07969004965404913,0.16427535184446254,0.07368111191455415,-0.07566960107943443,True
F,2.8767123287671015,2.8767123287671015,5.050596207879521,2,0.0744196012353813,0.007427704469039842,0.015220700152206947,0.005291005291005312,-0.007080407410624434,True
GOOGL,2.54672388053474,2.54672388053474,7.47813633699129,3,0.06984885762556488,0.012315744910386783,0.02659385962731403,0.010442380436519908,-0.01222251564324961,True
LVS,2.404951665033633,2.404951665033633,6.320991140324546,2,0.06955837017796994,0.060369298760868606,0.11753350237492217,0.04887146136189747,-0.050582465718068126,True
LGND,2.2293179182517764,2.2293179182517764,8.21096278737846,4,0.06874621291021363,0.04631024115855431,0.09947202785278761,0.04461993825034755,-0.046528091094810486,True
CX,2.260478634227678,2.260478634227678,7.747215567445338,3,0.06415858491185067,0.04230007827523585,0.08855209698595284,0.03917404732126912,-0.04191463443668375,True
BLD,1.9217723764586543,1.9217723764586543,4.792404197305231,3,0.048871810902116807,0.04399556451147202,0.11144105595930993,0.05798868655020836,-0.04223823573268082,True
TSM,1.395169901902273,1.395169901902273,5.9338420736846285,3,0.026125703065701535,0.017826971671943026,0.09401572111613095,0.06738657491674906,-0.06852393023064418,True
NVT,0.9835064491605938,0.9835064491605938,5.717017490773683,4,0.019693489985344172,-0.012897476358039506,0.09162977591521858,0.09316642101678443,-0.09466731725417066,True
ASML,1.102911466327313,1.102911466327313,6.124370717559553,3,0.018096352138293633,-0.0011096289892790212,0.07155932298853807,0.06488220058753227,-0.06725643311822316,True
TMO,1.2099803090599663,1.2099803090599663,4.426105044324777,2,0.01737417998830398,0.004690650234937976,0.05574198359433255,0.04606850473264189,-0.0477845513841576,True
IQV,1.0449387105300838,1.0449387105300838,5.131335141352391,3,0.01671633166644934,-0.008414023414353156,0.09887842266426772,0.09462604999493987,-0.09625474549664381,True
FTXL,0.9906051988694469,0.9906051988694469,12.56974099935397,2,0.012958580782704291,-0.005169309179213877,0.04797228163794099,0.04842724598325404,-0.050139049447449624,True
DELL,0.9661702643706025,0.9661702643706025,2.9900366497426876,2,0.012294343573377987,-0.01329259685216333,0.08718894009216581,0.09024179620034546,-0.09133317853195166,True
SIMO,0.6009133459099864,0.6009133459099864,4.61008981332569,4,0.012090109208100273,-0.08954300288726802,0.11255477053902951,0.18730615870842987,-0.14825017311035837,True
AAPL,0.04009467893860637,0.04009467893860637,5.98313245698258,3,0.008122113232212704,-0.038002751985950045,0.0014497602319615865,0.036158419778880964,-0.038002751985950045,True
AIQ,0.21970914499744193,0.21970914499744193,6.301091287564995,3,0.008071161644327895,-0.05946880948135058,0.015715948777648474,0.07153069926985267,-0.07346552039473542,True
BOOT,0.0,0.0,3.9821163041193923,3,0.007975268157457199,-0.040131707398026184,0.0,0.03685446110351473,-0.040131707398026184,True
WWD,0.08193603098825314,0.08193603098825314,5.404142711843222,3,0.007816996023309727,-0.054164278622136686,0.004530954751406955,0.05529868480029916,-0.054164278622136686,True
IYW,0.0,0.0,6.666195479433423,3,0.007582911093324299,-0.05600355049526007,0.0,0.053166441468734615,-0.05600355049526007,True
NYT,0.4381713701020486,0.4381713701020486,5.027040256648835,2,0.007071746728493532,-0.030745849922159563,0.02135045998958521,0.048726277996238694,-0.04986746400410358,True
ALNY,0.0,0.0,5.5196375013371055,3,0.006449444664858746,-0.10384337946770972,0.0,0.10411748909011549,-0.10384337946770972,True
bidu,0.4357092545532005,0.4357092545532005,4.102489036237865,2,0.006403598701633906,-0.06149866811554461,0.04253706199460914,0.09762717121588091,-0.09925046793994985,True
ILMN,0.0,0.0,3.522693263310846,3,0.006184766956122124,-0.11553886348768971,0.0,0.11314226989776256,-0.11553886348768971,True
XPEL,0.0,0.0,3.1547322466751555,2,0.005956116023065187,-0.0064853102619343295,0.0,0.0046948356807510975,-0.005888843568075175,True
IBM,0.0,0.0,3.2379400976647323,2,0.005903408635880262,-0.009560673944200238,0.0,0.007775741667079452,-0.008966053576346056,True
JNJ,0.0,0.0,7.001108978102801,2,0.005856247827715751,-0.01240191865760265,0.0,0.010033782318134775,-0.01240191865760265,True
FDN,0.0,0.0,3.4065051948209737,2,0.005694551179246826,-0.021731107320765553,0.0,0.019467974369300985,-0.021731107320765553,True
DINO,0.0,0.0,5.205811566629346,2,0.00566801874078819,-0.023346240909957294,0.0,0.021109493098250137,-0.023346240909957294,True
SPY,0.0,0.0,6.670687529035335,2,0.00559982443953827,-0.027336779350563,0.0,0.02515624478763963,-0.027336779350563,True
NKE,0.4243385610954214,0.4243385610954214,0.9422104860250939,2,0.005594863496896371,-0.03212979290672724,0.02118912080961411,0.04993446920052428,-0.05164356129040426,True
