Open,High,Low,Close,Volume
87.025,87.13,86.07,86.58,165088.0
86.44,86.79,86.41,86.78,3900.0
86.74,86.74,85.715,85.97,45503.0
86.05,86.435,85.77,86.15,62019.0
86.2,86.38,85.45,85.81,120712.0
85.82,85.93,85.72,85.86,48136.0
85.86,86.075,85.76,85.97,35069.0
85.95,86.16,85.92,86.05,27557.0
86.04,86.14,85.635,85.84,183291.0
85.72,85.72,85.72,85.72,200.0
86.94,87.53,86.88,87.42,64043.0
87.35,87.78,87.095,87.44,48729.0
87.47,87.62,87.065,87.3,32028.0
87.33,87.8,87.2,87.695,52416.0
87.665,87.75,87.19,87.42,25752.0
87.39,87.63,86.35,86.37,62182.0
86.36,86.55,85.72,86.28,125119.0
86.33,86.33,85.72,85.75,1300.0
86.07,86.9,85.96,86.89,72853.0
86.91,87.2,86.68,86.76,84978.0
86.83,87.12,86.61,86.96,39316.0
87.01,87.46,86.85,87.265,59269.0
87.25,87.25,86.27,86.34,143894.0
86.31,86.51,85.75,85.84,76249.0
85.89,86.02,85.33,85.65,98220.0
85.68,85.7,85.5,85.5,690.0
84.875,85.75,84.61,84.94,165103.0
84.9,85.28,84.44,84.82,127421.0
84.82,85.52,84.75,85.46,89301.0
85.485,85.99,85.465,85.5,46392.0
85.53,85.93,85.27,85.49,74127.0
85.52,85.985,85.42,85.72,51467.0
85.71,86.03,85.62,85.88,194205.0
85.96,86.09,85.9,85.9,1100.0
85.96,85.97,84.98,85.065,57261.0
85.075,85.62,85.03,85.2,57052.0
85.21,86.02,85.11,86.0,31437.0
86.035,86.22,85.875,86.05,28027.0
86.07,86.27,85.97,86.14,25014.0
86.17,86.61,86.17,86.505,39435.0
86.5,86.955,86.5,86.81,147479.0
86.61,86.61,86.6,86.6,500.0
86.57,86.73,85.69,86.57,35961.0
86.52,87.06,86.435,86.67,90012.0
86.67,87.21,86.62,87.0,43817.0
87.03,87.41,87.02,87.235,28945.0
87.24,87.33,86.81,86.82,23700.0
86.84,86.88,86.36,86.77,44591.0
86.78,87.085,86.76,86.83,84458.0
86.88,86.89,86.88,86.89,233.0
86.1,86.325,85.34,85.34,100095.0
85.41,85.69,85.0,85.28,84462.0
85.265,86.38,85.165,85.87,168185.0
85.85,85.94,85.52,85.7,62481.0
85.81,85.98,85.42,85.42,32648.0
85.49,85.69,85.36,85.46,35127.0
85.49,86.12,85.48,86.07,192197.0
85.62,85.62,85.61,85.61,400.0
85.89,85.89,85.14,85.235,84514.0
