number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
840,3.1118036734607606,2026-01-07 05:02:23.812021,2026-01-07 05:02:23.896161,0 days 00:00:00.084140,31,39,2.0599052365788,3.6965253537105727,5.581992696475638,2.1675708676383545,COMPLETE
852,3.1118036734607606,2026-01-07 05:02:26.857198,2026-01-07 05:02:26.927313,0 days 00:00:00.070115,25,38,2.6536355516725108,3.7154846055232227,5.943414656656727,2.803405654771276,COMPLETE
874,3.1118036734607606,2026-01-07 05:02:31.943001,2026-01-07 05:02:32.020148,0 days 00:00:00.077147,38,39,2.6158915746976237,2.762079343748003,4.239245431131709,1.5640798746607483,COMPLETE
684,3.1118036734607606,2026-01-07 05:01:47.816538,2026-01-07 05:01:47.885907,0 days 00:00:00.069369,22,39,3.0912352233704246,2.8889317111055623,3.0840420200175984,1.9827558738452673,COMPLETE
1902,3.1118036734607606,2026-01-07 05:07:00.449607,2026-01-07 05:07:00.539248,0 days 00:00:00.089641,34,39,2.9918313250294255,4.196431543713863,5.599397991026811,2.2417854022593366,COMPLETE
865,3.1118036734607606,2026-01-07 05:02:29.845864,2026-01-07 05:02:29.921590,0 days 00:00:00.075726,16,38,2.7453280023986277,4.474467546325548,5.315349871536484,2.219858109185893,COMPLETE
887,3.1118036734607606,2026-01-07 05:02:35.265873,2026-01-07 05:02:35.338748,0 days 00:00:00.072875,32,39,3.971730303070564,2.0273745089543582,3.464261992170079,3.602048730561311,COMPLETE
941,3.1118036734607606,2026-01-07 05:02:48.766464,2026-01-07 05:02:48.841173,0 days 00:00:00.074709,10,38,3.572968281320454,3.709083027942302,3.46307911216136,1.7421604191079214,COMPLETE
1724,3.1118036734607606,2026-01-07 05:06:13.783698,2026-01-07 05:06:13.867291,0 days 00:00:00.083593,40,39,2.4166070069259966,2.189982294039444,4.520595847726385,2.1703937761753815,COMPLETE
1721,3.1118036734607606,2026-01-07 05:06:12.997463,2026-01-07 05:06:13.093267,0 days 00:00:00.095804,50,38,2.589253400698288,3.530857597170154,3.227422364679779,1.5734424837343552,COMPLETE
48,3.1118036734607606,2026-01-07 04:59:17.692058,2026-01-07 04:59:17.762302,0 days 00:00:00.070244,50,39,3.899858447006938,4.325631440816107,3.8439965505595146,2.351879128962656,COMPLETE
634,3.1118036734607606,2026-01-07 05:01:35.354026,2026-01-07 05:01:35.425871,0 days 00:00:00.071845,32,38,2.4415492772490843,2.586188480345544,4.035702615274535,1.6429539818701828,COMPLETE
1859,3.1118036734607606,2026-01-07 05:06:49.334689,2026-01-07 05:06:49.425472,0 days 00:00:00.090783,35,38,2.766315651800479,4.46732175918825,4.737574580367266,2.299440970444094,COMPLETE
1856,3.1118036734607606,2026-01-07 05:06:48.608041,2026-01-07 05:06:48.710810,0 days 00:00:00.102769,21,38,2.287641952114197,3.524329254564765,3.6873153250667996,1.6108302633294056,COMPLETE
621,3.1118036734607606,2026-01-07 05:01:32.343410,2026-01-07 05:01:32.418316,0 days 00:00:00.074906,39,38,3.636918588695265,2.158080816592444,5.780320939067442,3.5669856346572444,COMPLETE
1002,3.1118036734607606,2026-01-07 05:03:02.809654,2026-01-07 05:03:02.893311,0 days 00:00:00.083657,44,39,2.857575376547317,3.9712269320967617,4.022637531956766,3.1118445070839242,COMPLETE
1023,3.1118036734607606,2026-01-07 05:03:07.993241,2026-01-07 05:03:08.070727,0 days 00:00:00.077486,33,38,2.5428570997355933,3.6134038992496493,5.988768761898556,2.3233835913567544,COMPLETE
574,3.1118036734607606,2026-01-07 05:01:21.389784,2026-01-07 05:01:21.463647,0 days 00:00:00.073863,12,38,2.0714520097506384,2.676768908094793,4.075470415457988,1.6165166368295916,COMPLETE
567,3.1118036734607606,2026-01-07 05:01:19.897850,2026-01-07 05:01:19.972861,0 days 00:00:00.075011,36,39,2.7878788087612665,3.0135430610527822,4.507055645445915,1.6519546625793167,COMPLETE
1855,3.1118036734607606,2026-01-07 05:06:48.371031,2026-01-07 05:06:48.454402,0 days 00:00:00.083371,11,38,3.8118400345688195,2.693876695553327,3.696540156319072,2.0148852912425994,COMPLETE
1086,3.1118036734607606,2026-01-07 05:03:23.334728,2026-01-07 05:03:23.410862,0 days 00:00:00.076134,18,39,2.6637874719580816,3.3810211325290247,5.333302110990408,2.0088383589678847,COMPLETE
536,3.1118036734607606,2026-01-07 05:01:12.830865,2026-01-07 05:01:12.900274,0 days 00:00:00.069409,47,38,3.21368469358688,2.0362984286875454,5.8526612736002726,2.8784021403882516,COMPLETE
