number,value,datetime_start,datetime_complete,duration,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
95,3.3001585604916355,2026-01-06 22:34:05.230712,2026-01-06 22:34:05.281944,0 days 00:00:00.051232,3.4488718216190763,2.374330063067905,4.420923693615961,1.8340118972162314,COMPLETE
94,3.3001585604916355,2026-01-06 22:34:05.060551,2026-01-06 22:34:05.113581,0 days 00:00:00.053030,3.181336860762508,3.4348414564721117,3.2547106051479813,3.9397566877243393,COMPLETE
93,3.3001585604916355,2026-01-06 22:34:04.878989,2026-01-06 22:34:04.937371,0 days 00:00:00.058382,3.559490670721773,2.0814677931108045,5.641235664899983,3.2491876549221157,COMPLETE
92,3.3001585604916355,2026-01-06 22:34:04.704787,2026-01-06 22:34:04.761235,0 days 00:00:00.056448,3.7450039081536066,2.1949844113466344,4.676077764308398,1.7207068188330166,COMPLETE
91,3.3001585604916355,2026-01-06 22:34:04.533508,2026-01-06 22:34:04.581146,0 days 00:00:00.047638,3.9363920028004267,2.381224427897154,5.007983180885705,1.7315164367068827,COMPLETE
90,3.3001585604916355,2026-01-06 22:34:04.349335,2026-01-06 22:34:04.398501,0 days 00:00:00.049166,2.58556596564326,3.7192338855187614,3.1099060907793246,2.173188690508836,COMPLETE
89,3.3001585604916355,2026-01-06 22:34:04.175318,2026-01-06 22:34:04.225542,0 days 00:00:00.050224,3.109269233607853,3.127772818106036,4.82474908292383,2.0368942658938582,COMPLETE
88,3.3001585604916355,2026-01-06 22:34:04.011827,2026-01-06 22:34:04.062990,0 days 00:00:00.051163,2.7364002454652523,3.0052518611138264,3.367411774148597,3.072578384926393,COMPLETE
87,3.3001585604916355,2026-01-06 22:34:03.823378,2026-01-06 22:34:03.874163,0 days 00:00:00.050785,2.449586696408102,4.301987855747621,3.000180364551321,2.763852953419466,COMPLETE
86,3.3001585604916355,2026-01-06 22:34:03.651598,2026-01-06 22:34:03.702503,0 days 00:00:00.050905,2.564448589714948,3.6227807675761805,5.012372929292712,2.38023998703108,COMPLETE
85,3.3001585604916355,2026-01-06 22:34:03.488789,2026-01-06 22:34:03.539804,0 days 00:00:00.051015,2.814679783276664,2.6985355764978407,3.0451412545413867,3.514308736604504,COMPLETE
84,3.3001585604916355,2026-01-06 22:34:03.324144,2026-01-06 22:34:03.375722,0 days 00:00:00.051578,3.044981275730193,2.059083385797746,5.919370464937887,3.931470666865619,COMPLETE
83,3.3001585604916355,2026-01-06 22:34:03.154277,2026-01-06 22:34:03.208898,0 days 00:00:00.054621,2.399878175093547,2.6325451312596955,3.1811630125106496,3.424911778135699,COMPLETE
82,3.3001585604916355,2026-01-06 22:34:02.989601,2026-01-06 22:34:03.038497,0 days 00:00:00.048896,3.2250991275150267,2.359172721019788,3.5233004813266415,3.7652140761827457,COMPLETE
81,3.3001585604916355,2026-01-06 22:34:02.796331,2026-01-06 22:34:02.845613,0 days 00:00:00.049282,3.0957862387606867,2.2949951039243546,3.3612257049299332,3.0154875482601997,COMPLETE
80,3.3001585604916355,2026-01-06 22:34:02.628979,2026-01-06 22:34:02.678322,0 days 00:00:00.049343,3.0800529043414655,3.190183318461122,3.5294285572290782,1.6289533832919867,COMPLETE
111,3.3001585604916355,2026-01-06 22:34:08.127737,2026-01-06 22:34:08.178370,0 days 00:00:00.050633,3.818901192839455,3.327677661735969,3.704730807873964,3.4256477422056877,COMPLETE
110,3.3001585604916355,2026-01-06 22:34:07.957376,2026-01-06 22:34:08.005968,0 days 00:00:00.048592,3.9517624875743453,3.6159346169900153,4.661792338339883,1.6428415390430364,COMPLETE
109,3.3001585604916355,2026-01-06 22:34:07.759841,2026-01-06 22:34:07.808705,0 days 00:00:00.048864,2.545603663677614,3.980353395237224,3.611052160005698,1.929948086938184,COMPLETE
108,3.3001585604916355,2026-01-06 22:34:07.579746,2026-01-06 22:34:07.631288,0 days 00:00:00.051542,2.4032590389406074,4.398475117145451,5.975869396089744,2.0313596000615193,COMPLETE
107,3.3001585604916355,2026-01-06 22:34:07.397660,2026-01-06 22:34:07.455449,0 days 00:00:00.057789,2.983195732061344,2.4276000243858906,5.146441424291098,2.345005922153398,COMPLETE
106,3.3001585604916355,2026-01-06 22:34:07.225477,2026-01-06 22:34:07.276338,0 days 00:00:00.050861,2.5441435208885252,2.868163415996509,4.62462518504938,2.068729982590837,COMPLETE
105,3.3001585604916355,2026-01-06 22:34:07.062741,2026-01-06 22:34:07.110899,0 days 00:00:00.048158,3.324075955800446,2.82277504757982,4.9012116144741,3.0174285368851637,COMPLETE
104,3.3001585604916355,2026-01-06 22:34:06.837318,2026-01-06 22:34:06.911365,0 days 00:00:00.074047,3.403220655357409,3.1346505376239753,5.852369258703107,3.7918911756157447,COMPLETE
103,3.3001585604916355,2026-01-06 22:34:06.609402,2026-01-06 22:34:06.666242,0 days 00:00:00.056840,3.6782078131999856,2.6892401588970913,4.54750858341627,1.6191204545754376,COMPLETE
102,3.3001585604916355,2026-01-06 22:34:06.432531,2026-01-06 22:34:06.484257,0 days 00:00:00.051726,3.2131523003441727,2.312256605365989,4.920391232100118,2.2988529646543325,COMPLETE
101,3.3001585604916355,2026-01-06 22:34:06.266401,2026-01-06 22:34:06.316833,0 days 00:00:00.050432,3.8562608294289227,3.061154617739545,4.91989715336442,3.3589293341301696,COMPLETE
100,3.3001585604916355,2026-01-06 22:34:06.077565,2026-01-06 22:34:06.130589,0 days 00:00:00.053024,2.7937496247064915,2.498226835924433,3.0679966657427356,2.909797475081488,COMPLETE
99,3.3001585604916355,2026-01-06 22:34:05.904499,2026-01-06 22:34:05.964914,0 days 00:00:00.060415,3.5763441270498277,2.3009057625129574,3.927172716112175,1.6533651104639666,COMPLETE
98,3.3001585604916355,2026-01-06 22:34:05.730987,2026-01-06 22:34:05.782831,0 days 00:00:00.051844,3.9241890698655233,2.410423740219903,4.2376894760155555,2.1229873793422613,COMPLETE
97,3.3001585604916355,2026-01-06 22:34:05.565777,2026-01-06 22:34:05.617415,0 days 00:00:00.051638,2.7126366723412842,3.176692889726347,5.650311892502777,2.199962696343586,COMPLETE
96,3.3001585604916355,2026-01-06 22:34:05.399277,2026-01-06 22:34:05.450192,0 days 00:00:00.050915,2.767985661619285,3.3028114490083182,3.701285048055846,2.2719393534432464,COMPLETE
127,3.3001585604916355,2026-01-06 22:34:11.107904,2026-01-06 22:34:11.161682,0 days 00:00:00.053778,3.7993927180264757,4.42793421172375,5.490689308089584,3.424739057291082,COMPLETE
126,3.3001585604916355,2026-01-06 22:34:10.933583,2026-01-06 22:34:10.988880,0 days 00:00:00.055297,3.864588378555847,4.260986772998277,5.950300576667001,3.004990921873479,COMPLETE
125,3.3001585604916355,2026-01-06 22:34:10.741099,2026-01-06 22:34:10.795746,0 days 00:00:00.054647,3.2496058832686163,3.9796683308358203,5.2993641802000635,3.2058190986654913,COMPLETE
124,3.3001585604916355,2026-01-06 22:34:10.571724,2026-01-06 22:34:10.621459,0 days 00:00:00.049735,3.7223094337818305,2.8177327339134037,3.168504614903004,1.7674444023271065,COMPLETE
123,3.3001585604916355,2026-01-06 22:34:10.398463,2026-01-06 22:34:10.453864,0 days 00:00:00.055401,3.5883241733400375,4.249978521450482,5.793142563043732,2.8534480359315837,COMPLETE
122,3.3001585604916355,2026-01-06 22:34:10.229834,2026-01-06 22:34:10.281437,0 days 00:00:00.051603,3.584461967234574,2.0155548698968624,3.369783535194693,1.8074190685958251,COMPLETE
121,3.3001585604916355,2026-01-06 22:34:10.036935,2026-01-06 22:34:10.089387,0 days 00:00:00.052452,3.5751190148199665,4.492147108201138,5.180928739655403,2.4676886762513357,COMPLETE
120,3.3001585604916355,2026-01-06 22:34:09.814529,2026-01-06 22:34:09.871923,0 days 00:00:00.057394,3.4110858442481646,3.375425206493363,3.9071884397259633,3.890970255524145,COMPLETE
119,3.3001585604916355,2026-01-06 22:34:09.633853,2026-01-06 22:34:09.691285,0 days 00:00:00.057432,3.3203777030827264,3.709946177636828,3.8905131682508154,3.1857805306822504,COMPLETE
118,3.3001585604916355,2026-01-06 22:34:09.400918,2026-01-06 22:34:09.460870,0 days 00:00:00.059952,2.279374109371229,3.097171530431084,5.691023511331514,3.964541486946861,COMPLETE
117,3.3001585604916355,2026-01-06 22:34:09.222081,2026-01-06 22:34:09.275728,0 days 00:00:00.053647,3.5507838563453973,2.9105511053629938,3.2932956549934627,3.742750864490545,COMPLETE
116,3.3001585604916355,2026-01-06 22:34:09.039079,2026-01-06 22:34:09.094024,0 days 00:00:00.054945,3.970395761711685,2.2415404611826415,3.9922499366597917,1.6503413685786084,COMPLETE
