number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
120,0.845301905285376,2026-01-02 23:12:52.593511,2026-01-02 23:12:54.309034,0 days 00:00:01.715523,16,51,1.562936700083954,9,8,22,7,2.8038474375196656,43,3,6,2.4466846991777205,1.4026260799507027,COMPLETE
77,0.8442420343900408,2026-01-02 23:11:20.788772,2026-01-02 23:11:22.584200,0 days 00:00:01.795428,13,60,1.5292428181455489,6,6,36,10,1.536552099436185,44,3,10,3.118991768100518,1.1819066736888546,COMPLETE
109,0.8439552235752529,2026-01-02 23:12:30.251298,2026-01-02 23:12:32.466180,0 days 00:00:02.214882,20,46,2.7296440348832003,6,9,24,9,2.365499416945263,45,4,7,3.2375686162928234,2.2243076592091042,COMPLETE
134,0.843779805209865,2026-01-02 23:13:25.833360,2026-01-02 23:13:27.927899,0 days 00:00:02.094539,10,46,2.037235777176131,3,9,25,10,3.465508880274117,45,4,8,3.0548940370309747,1.2873621673561646,COMPLETE
190,0.8433497358256987,2026-01-02 23:15:46.102355,2026-01-02 23:15:48.488907,0 days 00:00:02.386552,17,40,2.708581529751312,6,6,23,9,1.7801848100677884,45,2,5,2.854770756010177,2.603744963984317,COMPLETE
131,0.8432556487336615,2026-01-02 23:13:18.239374,2026-01-02 23:13:20.586624,0 days 00:00:02.347250,14,50,1.938437757545286,3,7,23,10,2.504913120626562,44,3,9,1.975004230129315,1.4633802377912588,COMPLETE
184,0.8428403561278662,2026-01-02 23:15:30.469215,2026-01-02 23:15:32.951015,0 days 00:00:02.481800,21,48,2.449005562452152,3,10,26,9,3.31789191249062,43,4,10,2.361546110740673,1.8148262756041087,COMPLETE
167,0.8420755829202241,2026-01-02 23:14:44.421315,2026-01-02 23:14:46.824847,0 days 00:00:02.403532,11,46,1.6200354407832687,5,10,20,10,2.0986716766434994,41,2,6,3.412173504808009,1.9102277201586908,COMPLETE
95,0.8419045555869265,2026-01-02 23:11:57.883655,2026-01-02 23:11:59.744619,0 days 00:00:01.860964,15,55,1.5937330708831288,2,7,34,8,1.8779434954075118,41,3,8,2.775933408680676,1.493423848629114,COMPLETE
46,0.8418153166507348,2026-01-02 23:10:01.306805,2026-01-02 23:10:03.711827,0 days 00:00:02.405022,15,59,1.9205237507801418,5,6,38,5,1.938800085022406,44,3,1,3.5753255490885643,1.7939000592772876,COMPLETE
