number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_position_size_pct,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,params_use_replacement,user_attrs_avg_max_dd,user_attrs_avg_return_pct,user_attrs_avg_sharpe,user_attrs_avg_win_rate,user_attrs_total_trades,state
18,-10.0,2026-01-01 13:30:36.493419,2026-01-01 13:30:41.216880,0 days 00:00:04.723461,6,19,85,4.051797820301685,14,5.171256299748987,45,5,7,0.1563269670586943,0.2411514399536158,2.961177689973987,50,12.73909885486559,11.749401846704803,10.360681572253707,3.113778523007903,0.20470261562326109,False,0.0,0.0,0.0,0.0,0,COMPLETE
19,-10.0,2026-01-01 13:30:36.488792,2026-01-01 13:30:40.631811,0 days 00:00:04.143019,18,6,120,4.89066148771559,22,14.827846298864792,28,20,5,0.07102384592558998,0.1562354966991014,1.5198765004987405,59,16.476000234889945,16.968869836973262,10.749311074779962,3.3134284932448375,0.12073480525741934,False,0.0,0.0,0.0,0.0,0,COMPLETE
20,-10.0,2026-01-01 13:30:36.895112,2026-01-01 13:30:41.883347,0 days 00:00:04.988235,19,8,104,2.035463612007689,23,6.952635966517525,27,28,9,0.17333859527704792,0.2744812704840422,6.678984521982756,54,19.014616188317994,10.080622791522671,6.142758687237046,1.3677485460752634,0.37196420670585684,True,0.0,0.0,0.0,0.0,0,COMPLETE
21,-10.0,2026-01-01 13:30:37.952389,2026-01-01 13:30:42.069491,0 days 00:00:04.117102,12,3,87,4.85429220380428,29,18.017071819381478,24,19,10,0.1553518781716391,0.1386639090838811,4.726713638487023,39,19.3962867276784,8.785437189108592,7.173785313189464,3.4249982445180915,0.3299524065760614,False,0.0,0.0,0.0,0.0,0,COMPLETE
22,-10.0,2026-01-01 13:30:38.097663,2026-01-01 13:30:43.042940,0 days 00:00:04.945277,20,15,125,4.640273997224827,22,12.563273621299654,49,30,6,0.08707266280268416,0.08653941471374284,1.0938826541880642,33,6.884667195602741,19.637237577183328,8.487352526333424,2.424710488972212,0.26910311312734875,False,0.0,0.0,0.0,0.0,0,COMPLETE
23,-10.0,2026-01-01 13:30:38.098363,2026-01-01 13:30:42.810107,0 days 00:00:04.711744,6,12,122,3.6745746464835394,8,6.37417308790146,21,7,10,0.15564342180129342,0.22390874388340548,2.2713613627962985,21,9.809783512448785,9.474181132927802,8.648129614022356,2.1209497533154593,0.1498991116768927,True,0.0,0.0,0.0,0.0,0,COMPLETE
24,-10.0,2026-01-01 13:30:38.934434,2026-01-01 13:30:42.057542,0 days 00:00:03.123108,7,14,165,4.452627105430376,17,19.368384068484275,55,25,7,0.05223639867437664,0.11546302778793888,4.88008882939371,23,15.433471420650427,18.00221564763669,10.801041105119836,1.2471149902051484,0.394388463195397,False,0.0,0.0,0.0,0.0,0,COMPLETE
25,-10.0,2026-01-01 13:30:39.889426,2026-01-01 13:30:43.607651,0 days 00:00:03.718225,19,12,118,2.6113823207234677,11,7.1243508653390535,54,23,5,0.12616632655937804,0.048238916845933705,7.544634711956731,22,11.176763393724684,18.206665865523483,11.873430990701447,2.7097833157220097,0.23470217994968334,False,0.0,0.0,0.0,0.0,0,COMPLETE
26,-10.0,2026-01-01 13:30:39.890045,2026-01-01 13:30:45.292632,0 days 00:00:05.402587,16,16,142,2.4508324206128003,21,14.357094750634735,50,12,7,0.17889482258970607,0.05232259617579596,4.305905380611963,32,10.641731282140832,17.148439392187193,11.178056083217164,3.2891779314859066,0.3688827146369491,True,0.0,0.0,0.0,0.0,0,COMPLETE
27,-10.0,2026-01-01 13:30:41.877320,2026-01-01 13:30:44.689584,0 days 00:00:02.812264,13,14,132,2.104616108399989,21,17.18873735308636,32,17,6,0.15234797920669035,0.030075814697664023,6.032081937750894,39,7.626299108244295,17.006707039116094,10.958442511749977,3.4637355301218586,0.39928661970347373,True,0.0,0.0,0.0,0.0,0,COMPLETE
28,-10.0,2026-01-01 13:30:41.879225,2026-01-01 13:30:45.634677,0 days 00:00:03.755452,16,10,92,3.986061240361969,10,9.357690090668516,60,15,5,0.12916567325679068,0.1639114976232586,5.632894794901826,17,5.217377954389647,18.368647379873853,10.284327170822134,2.126048929154636,0.35456162812766456,False,0.0,0.0,0.0,0.0,0,COMPLETE
29,-10.0,2026-01-01 13:30:41.906810,2026-01-01 13:30:45.082367,0 days 00:00:03.175557,13,18,123,2.009044232374335,28,18.24177823975015,50,20,10,0.185318038559352,0.0052058087827004645,4.202306257161856,21,6.088062918501024,17.918446311834636,8.642084557186053,4.197510222884831,0.3354991681316857,True,0.0,0.0,0.0,0.0,0,COMPLETE
30,-10.0,2026-01-01 13:30:42.463584,2026-01-01 13:30:46.688992,0 days 00:00:04.225408,10,17,72,1.3338631154104996,25,15.407219796669946,34,24,10,0.17972350682521954,0.033973853993856586,3.538840714645971,32,7.4515233045467095,19.086260275345452,10.797630182636617,4.275245943103968,0.36996881807955473,True,0.0,0.0,0.0,0.0,0,COMPLETE
31,-10.0,2026-01-01 13:30:42.480009,2026-01-01 13:30:45.438830,0 days 00:00:02.958821,13,16,142,2.488627609866863,23,19.132895961739578,48,20,5,0.16180816736476222,0.04576706141773544,5.456747158501106,25,7.26562192952624,14.929566037160129,10.953296443609373,3.995615196760917,0.3646550211863875,True,0.0,0.0,0.0,0.0,0,COMPLETE
32,-10.0,2026-01-01 13:30:42.480565,2026-01-01 13:30:47.338245,0 days 00:00:04.857680,17,17,144,1.3023637033239006,23,14.003196299151043,48,11,5,0.1922713677847221,0.0087489451556558,2.498445332501226,40,7.4927333957752715,14.914943522093196,8.497055240956035,3.51679753088957,0.3579853830635082,True,0.0,0.0,0.0,0.0,0,COMPLETE
33,-10.0,2026-01-01 13:30:43.130243,2026-01-01 13:30:46.766254,0 days 00:00:03.636011,15,8,154,3.2991245980893784,10,10.262897294282094,57,12,3,0.13929954041370277,0.17534033235439872,2.72299158845929,40,8.150532670255968,14.13099465695915,8.413032039862363,2.2111593329976196,0.22658881038590153,True,0.0,0.0,0.0,0.0,0,COMPLETE
34,-10.0,2026-01-01 13:30:44.460482,2026-01-01 13:30:48.541292,0 days 00:00:04.080810,13,13,129,2.569208934047824,10,12.645639733016296,47,14,3,0.1825437744348024,0.20540054178069816,3.9745021767474586,29,8.715677022470693,16.051811874372543,6.461416260747297,2.8133133503060783,0.23342590312181538,True,0.0,0.0,0.0,0.0,0,COMPLETE
35,-10.0,2026-01-01 13:30:44.940921,2026-01-01 13:30:48.104827,0 days 00:00:03.163906,19,11,158,2.940183111583729,13,7.498779097590397,52,9,2,0.12149778504794835,0.2543346478159445,3.3586927261792283,49,5.850655234154205,18.176514879805197,10.248280560067762,3.4126420167387073,0.15653876804692013,True,0.0,0.0,0.0,0.0,0,COMPLETE
36,-10.0,2026-01-01 13:30:44.908782,2026-01-01 13:30:49.158927,0 days 00:00:04.250145,14,12,88,3.1398484518231182,12,11.493237609317532,44,6,3,0.13699728127361385,0.24034885088792524,4.346267655333263,51,5.106365380803814,16.096482920603243,10.854665598244797,2.543475856652452,0.17876674241964186,True,0.0,0.0,0.0,0.0,0,COMPLETE
37,-10.0,2026-01-01 13:30:44.448942,2026-01-01 13:30:49.871393,0 days 00:00:05.422451,12,11,84,4.221998991308402,7,19.8089633896116,35,7,2,0.09081061509858897,0.28455027594843835,4.755226597669752,30,18.354889281216952,6.441341932965086,4.4909447277966486,2.3329172812451713,0.3685256913658321,False,0.0,0.0,0.0,0.0,0,COMPLETE
38,-10.0,2026-01-01 13:30:45.179125,2026-01-01 13:30:49.572118,0 days 00:00:04.392993,10,12,103,4.770740285156671,6,16.83825481761844,37,6,3,0.07520799601962391,0.20222368987920944,4.374388187346646,41,18.21005116295846,5.382972870731622,6.717757604043895,2.9723821031060043,0.33484146348666305,False,0.0,0.0,0.0,0.0,0,COMPLETE
39,-10.0,2026-01-01 13:30:46.064298,2026-01-01 13:30:51.523409,0 days 00:00:05.459111,10,10,67,3.8897265939418,5,16.38934067748546,41,9,6,0.1326580337964404,0.20345330736527692,4.109010504722656,47,19.770057780498288,5.3648559550607455,6.7561350840758685,3.2198484932137026,0.29937570032849126,False,0.0,0.0,0.0,0.0,0,COMPLETE
40,-10.0,2026-01-01 13:30:46.064938,2026-01-01 13:30:50.272357,0 days 00:00:04.207419,6,15,64,4.553694870584737,8,18.189070333541235,28,6,2,0.09013092784672119,0.2516996565289648,2.9441579477496553,40,18.190488607739926,5.465631915482677,2.194516532194327,2.3352782314863774,0.2514284548692901,False,0.0,0.0,0.0,0.0,0,COMPLETE
41,-10.0,2026-01-01 13:30:47.354231,2026-01-01 13:30:51.679978,0 days 00:00:04.325747,7,7,58,4.266767989746176,7,19.419671658449975,37,5,3,0.11871626560613407,0.21016224369593225,4.414464740579017,47,15.405351207555007,9.360630194553544,5.873858605419661,2.038267835881872,0.38776335965706515,True,0.0,0.0,0.0,0.0,0,COMPLETE
42,-10.0,2026-01-01 13:30:47.548844,2026-01-01 13:30:51.528102,0 days 00:00:03.979258,8,19,113,2.823536675591469,5,17.516499902776093,34,11,3,0.10735786305553711,0.26349742879688126,5.416298354566823,46,19.596942531670578,5.122395499445927,4.640381014133627,2.623793820852605,0.3192917607324887,False,0.0,0.0,0.0,0.0,0,COMPLETE
43,-10.0,2026-01-01 13:30:47.666637,2026-01-01 13:30:51.993862,0 days 00:00:04.327225,12,14,53,4.31419914066035,6,15.35483682782793,44,7,3,0.06322099834210568,0.23619477009446765,4.585526016353253,52,19.168920003694392,5.4363928074251175,7.356140642949799,2.145365942694176,0.2678842841275105,False,0.0,0.0,0.0,0.0,0,COMPLETE
44,-10.0,2026-01-01 13:30:48.957381,2026-01-01 13:30:53.275321,0 days 00:00:04.317940,20,15,157,2.019189898983559,28,19.737284724713533,23,27,8,0.16017944312844173,0.01676317686808745,3.18373552061178,20,5.706955862645859,15.929784131840997,11.258157559354466,3.805818450284808,0.3953274044732095,True,0.0,0.0,0.0,0.0,0,COMPLETE
45,-10.0,2026-01-01 13:30:49.056432,2026-01-01 13:30:52.813266,0 days 00:00:03.756834,15,11,73,3.1726754017405776,5,10.727452872964985,59,22,5,0.12410573918419325,0.1837621287446873,7.928527434639085,34,6.452430417276309,13.949771795222901,10.190841900500528,3.5178744660009613,0.23833202377483648,False,0.0,0.0,0.0,0.0,0,COMPLETE
46,-10.0,2026-01-01 13:30:49.492696,2026-01-01 13:30:54.243414,0 days 00:00:04.750718,9,11,63,4.960786759190782,9,16.263308469448113,30,12,3,0.14453517645646405,0.22301900292107574,3.1520694784290297,45,14.569019543507292,8.550631608058247,8.711875053711282,1.0714433306649938,0.35480426044731145,False,0.0,0.0,0.0,0.0,0,COMPLETE
47,-10.0,2026-01-01 13:30:49.667052,2026-01-01 13:30:53.554143,0 days 00:00:03.887091,17,15,126,2.798103796168559,20,8.246239533330353,58,21,9,0.11627979999249793,0.08877753081713388,5.264039826235486,38,10.87805801732782,12.970919909582697,4.70356151132242,2.808175042923922,0.18210159155944977,False,0.0,0.0,0.0,0.0,0,COMPLETE
48,-10.0,2026-01-01 13:30:50.332198,2026-01-01 13:30:54.915357,0 days 00:00:04.583159,13,16,140,2.437772372967357,14,9.676672799492945,58,25,9,0.15860332309648295,0.15096965619253688,3.8817166676878276,25,9.461676323959754,9.625388632237105,5.496341162468636,3.8098499626319287,0.21264464915213732,False,0.0,0.0,0.0,0.0,0,COMPLETE
49,-10.0,2026-01-01 13:30:50.861609,2026-01-01 13:30:54.902516,0 days 00:00:04.040907,13,17,115,2.7493991457740714,15,8.804732431446824,53,18,10,0.11695803845147507,0.17666136428702586,4.45460042292374,42,8.159004500955584,7.496767393003365,6.00167815502993,3.55600733487567,0.2099286345486898,False,0.0,0.0,0.0,0.0,0,COMPLETE
50,-10.0,2026-01-01 13:30:51.297900,2026-01-01 13:30:54.994770,0 days 00:00:03.696870,13,17,120,3.605432120717883,20,7.191011509468753,45,28,8,0.15834070259939007,0.1566681286847881,7.683579787791412,32,12.715408361271576,11.12236415388893,5.4287506465608795,3.9293148981669876,0.24482783021280277,False,0.0,0.0,0.0,0.0,0,COMPLETE
51,-10.0,2026-01-01 13:30:52.177350,2026-01-01 13:30:55.072641,0 days 00:00:02.895291,15,9,59,3.7093302053234716,15,10.542895435652081,57,12,5,0.13245258174189192,0.12147538825650653,6.5608997559248365,31,13.10143724100996,18.13780777577223,11.150195606535274,3.4259763930185105,0.2595509699694177,False,0.0,0.0,0.0,0.0,0,COMPLETE
52,-10.0,2026-01-01 13:30:53.105935,2026-01-01 13:30:56.222495,0 days 00:00:03.116560,14,20,114,1.3349930212313685,13,8.476561134990195,48,17,10,0.13056558471668508,0.1525129471830164,4.493133479642884,26,9.92822483868759,6.8361669796165225,9.353458769652157,3.2120794651310645,0.245002851199963,False,0.0,0.0,0.0,0.0,0,COMPLETE
53,-10.0,2026-01-01 13:30:53.671546,2026-01-01 13:30:57.077853,0 days 00:00:03.406307,9,18,135,1.1455749381269351,20,14.391003226424619,60,8,7,0.15938791439728578,0.1998878156083542,5.5430899497350765,17,19.06859736467757,18.618355183475636,5.556927732018482,4.52043713175463,0.3647726911683636,True,0.0,0.0,0.0,0.0,0,COMPLETE
54,-10.0,2026-01-01 13:30:53.776045,2026-01-01 13:30:57.451269,0 days 00:00:03.675224,8,19,109,2.203359013810215,28,14.540299527569358,48,14,6,0.1345159760240159,0.24376169213924495,6.090350537473591,31,18.498208833984016,18.005027386188004,4.343566188386835,4.721854443859671,0.37340481104008183,True,0.0,0.0,0.0,0.0,0,COMPLETE
55,-10.0,2026-01-01 13:30:53.664090,2026-01-01 13:30:56.633125,0 days 00:00:02.969035,9,19,90,1.5460175345076237,26,16.855764541303785,56,12,9,0.17650013337053722,0.09796766364569587,5.868831423299293,25,16.258112822930013,17.96058636480832,5.279533285048416,4.540351703611299,0.29932627556011143,True,0.0,0.0,0.0,0.0,0,COMPLETE
56,-10.0,2026-01-01 13:30:54.579037,2026-01-01 13:30:57.734646,0 days 00:00:03.155609,6,17,121,1.8278591934022885,26,12.50575857406744,59,16,7,0.1817760364520512,0.24430446833374703,5.2006439129661715,28,19.510153205560663,16.78809351486295,3.914944806945031,4.167304384043516,0.28363063942400407,True,0.0,0.0,0.0,0.0,0,COMPLETE
57,-10.0,2026-01-01 13:30:54.695809,2026-01-01 13:30:59.568374,0 days 00:00:04.872565,5,18,123,2.3527000852290825,23,16.66896271669832,55,7,5,0.17582019408191368,0.1657502117908076,7.833272806779265,33,17.21470633626041,16.791956300700406,5.894941503725641,4.162765976367105,0.35719900751331346,True,0.0,0.0,0.0,0.0,0,COMPLETE
58,-10.0,2026-01-01 13:30:54.696507,2026-01-01 13:30:57.639567,0 days 00:00:02.943060,9,17,92,2.1551034465722863,30,10.966992083866119,55,11,9,0.1742411165981102,0.12534873235809948,6.576999221303822,24,18.852297223837375,16.980469044354642,5.215278207524409,4.022948300755042,0.3356953469317888,True,0.0,0.0,0.0,0.0,0,COMPLETE
59,-10.0,2026-01-01 13:30:54.808277,2026-01-01 13:30:58.470885,0 days 00:00:03.662608,8,19,149,2.0425466905256404,30,12.952205137421547,54,14,6,0.1134673366028364,0.23685689565966409,6.749342414149994,36,12.068148660647692,15.198786449145047,4.529365993596163,3.718530687637087,0.3043969889562412,True,0.0,0.0,0.0,0.0,0,COMPLETE
60,-10.0,2026-01-01 13:30:54.810527,2026-01-01 13:30:59.899909,0 days 00:00:05.089382,8,18,172,2.177895215257076,21,9.42135639612028,60,14,8,0.11341419615209096,0.1676947268482063,7.7579537370490534,28,18.113732773802003,18.493306212717286,5.120219759336767,3.627621234235502,0.3569737720036868,True,0.0,0.0,0.0,0.0,0,COMPLETE
61,-10.0,2026-01-01 13:30:55.179355,2026-01-01 13:30:59.369389,0 days 00:00:04.190034,7,16,139,1.125888536268786,22,11.531342559453543,53,9,5,0.14972906661550467,0.20479884287478572,5.062999598377223,20,19.984106835159857,17.906401816761527,4.945307079744547,4.268929530440714,0.387024865510588,True,0.0,0.0,0.0,0.0,0,COMPLETE
62,-10.0,2026-01-01 13:30:55.918053,2026-01-01 13:31:01.494778,0 days 00:00:05.576725,20,5,150,3.0663106311793404,12,8.918505413012959,58,13,4,0.117819495582899,0.090242265862812,7.6707345325149365,32,7.3578766268939475,15.907306189648217,10.944323723304516,4.490391815373633,0.37165435550752807,False,0.0,0.0,0.0,0.0,0,COMPLETE
63,-10.0,2026-01-01 13:30:56.832064,2026-01-01 13:31:00.496429,0 days 00:00:03.664365,12,17,99,1.948616133523354,21,13.973393387368736,31,11,8,0.1842285296408447,0.01074479510114877,3.549150772453922,26,5.216551200474857,12.228502335987688,11.605590365634319,3.8801048225495385,0.354268617370779,True,0.0,0.0,0.0,0.0,0,COMPLETE
64,-10.0,2026-01-01 13:30:58.262839,2026-01-01 13:31:01.756026,0 days 00:00:03.493187,16,17,135,3.0024390943943047,12,7.583493077519892,28,6,6,0.06202821683984783,0.10808389891329939,7.208270169311193,17,8.784766966923444,19.809441953723365,7.293551880406975,2.681831844298657,0.28101118903126243,True,0.0,0.0,0.0,0.0,0,COMPLETE
65,-10.0,2026-01-01 13:30:58.304670,2026-01-01 13:31:01.907060,0 days 00:00:03.602390,16,16,122,1.9932530676221498,15,11.766997999768984,29,15,4,0.05962447229781501,0.0700615854358136,7.5177057635357105,15,15.07563582572115,12.842502988152441,7.969985120607484,3.086234211830656,0.24728420838748388,True,0.0,0.0,0.0,0.0,0,COMPLETE
66,-10.0,2026-01-01 13:30:58.791902,2026-01-01 13:31:02.971665,0 days 00:00:04.179763,10,19,160,2.8074835841230965,6,11.86949391387587,28,12,3,0.11934037944321413,0.1406445024023836,4.138383020787726,17,6.464812757244706,14.802184887565922,4.6405315159799825,2.3836252854288436,0.27179700990142647,True,0.0,0.0,0.0,0.0,0,COMPLETE
67,-10.0,2026-01-01 13:30:58.796006,2026-01-01 13:31:03.004555,0 days 00:00:04.208549,10,17,146,1.645688303295359,11,12.530056309414917,36,13,6,0.0801945591031568,0.10144843457044178,5.740383540662665,16,6.910031668115487,15.153333656804536,6.131280817158674,2.640493295326671,0.1747605757084839,True,0.0,0.0,0.0,0.0,0,COMPLETE
68,-10.0,2026-01-01 13:30:59.973442,2026-01-01 13:31:05.430151,0 days 00:00:05.456709,19,19,143,2.9013722595538396,7,12.222915184173191,23,11,5,0.06636129351015013,0.16475608165151706,3.1044006190857414,21,11.26742872240998,14.107950284755656,4.106573644478295,3.1241018363766067,0.2834146186562366,True,0.0,0.0,0.0,0.0,0,COMPLETE
69,-10.0,2026-01-01 13:31:00.066361,2026-01-01 13:31:05.263573,0 days 00:00:05.197212,14,19,119,3.384961166014364,24,15.413161355147231,40,19,10,0.1998273065519455,0.0850230738227934,6.102015853959325,52,5.915577387786099,14.549390298194457,10.323639977789789,3.4515888592544997,0.33179840045111064,True,0.0,0.0,0.0,0.0,0,COMPLETE
70,-10.0,2026-01-01 13:30:59.978513,2026-01-01 13:31:05.194485,0 days 00:00:05.215972,17,8,75,2.0022762277573785,19,8.03687458448679,52,15,4,0.12455022810976658,0.22441014150051442,6.24144060048433,19,6.785281740315725,14.71640191911089,11.896682963712681,2.9498964121315843,0.30389166898323233,True,0.0,0.0,0.0,0.0,0,COMPLETE
71,-10.0,2026-01-01 13:31:01.433631,2026-01-01 13:31:05.468337,0 days 00:00:04.034706,11,14,150,3.9857051131084513,12,18.295817803461226,23,12,8,0.06323991843101325,0.03186688238339432,6.927229634165014,26,6.627549330731046,16.068234724911914,5.876738178980009,2.137614719670683,0.3035804708535576,True,0.0,0.0,0.0,0.0,0,COMPLETE
72,-10.0,2026-01-01 13:31:01.434826,2026-01-01 13:31:05.577586,0 days 00:00:04.142760,10,18,130,2.1198194370673034,7,13.010362583872135,23,10,5,0.0932712666022944,0.02222164519514999,5.530579182834345,17,10.191182630822363,16.389358065707587,6.628130444429976,4.665895644362558,0.3635508364880877,True,0.0,0.0,0.0,0.0,0,COMPLETE
73,-10.0,2026-01-01 13:31:01.432886,2026-01-01 13:31:05.501950,0 days 00:00:04.069064,9,7,138,3.069403510948555,13,6.715845705571073,50,16,8,0.1461058276819024,0.23924041068713187,5.3926086528029264,30,13.623210737828739,16.117475843871997,5.715033596601518,2.764993354234315,0.12025186639715083,False,0.0,0.0,0.0,0.0,0,COMPLETE
74,-10.0,2026-01-01 13:31:01.695895,2026-01-01 13:31:06.820696,0 days 00:00:05.124801,7,11,96,2.9027381908182424,22,5.76265543852808,59,21,10,0.1472318897763027,0.22911565692289354,6.155123293847275,27,8.880556600781677,7.805358173503313,3.981896876808972,2.9658836758111837,0.16599715682980987,False,0.0,0.0,0.0,0.0,0,COMPLETE
