number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
190,0.9008799331479695,2026-01-04 03:29:30.810644,2026-01-04 03:29:32.658065,0 days 00:00:01.847421,49,2.8945096037888334,3.277568846045318,3.056942550278314,1.3887824950963923,COMPLETE
48,0.9008799331479695,2026-01-04 03:24:33.851574,2026-01-04 03:24:35.555752,0 days 00:00:01.704178,49,2.254045933600587,3.3128375307009255,3.774234014451991,1.3833641983523821,COMPLETE
29,0.9008799331479695,2026-01-04 03:23:46.409763,2026-01-04 03:23:48.712950,0 days 00:00:02.303187,50,2.9953984808704552,3.602027690119665,3.3842040862998193,1.3813967039456458,COMPLETE
22,0.9008799331479695,2026-01-04 03:23:28.737822,2026-01-04 03:23:31.078571,0 days 00:00:02.340749,49,2.859043110012682,2.621010862198487,3.7078532978466723,1.3886068999628276,COMPLETE
94,0.9008799331479695,2026-01-04 03:26:02.914119,2026-01-04 03:26:04.693412,0 days 00:00:01.779293,41,2.332022612151444,3.431037438576931,3.572025060192619,1.3852688360804604,COMPLETE
40,0.9007538118924425,2026-01-04 03:24:14.987433,2026-01-04 03:24:17.374483,0 days 00:00:02.387050,50,2.887857185239823,3.900292661210289,3.6075515526741126,1.3496945097803312,COMPLETE
15,0.9007538118924425,2026-01-04 03:23:11.180177,2026-01-04 03:23:13.422992,0 days 00:00:02.242815,37,2.230158874253127,3.4580143360819746,4.542540693371891,1.3332803731213625,COMPLETE
41,0.9007538118924425,2026-01-04 03:24:17.520325,2026-01-04 03:24:19.791927,0 days 00:00:02.271602,50,2.9858406438245155,3.50266043728561,3.0982822101725818,1.3465153420371316,COMPLETE
121,0.9007538118924425,2026-01-04 03:26:53.824608,2026-01-04 03:26:56.019909,0 days 00:00:02.195301,41,2.9185357808790937,3.2333175285826625,3.1514327040245593,1.3651744820446177,COMPLETE
76,0.9007538118924425,2026-01-04 03:25:26.717190,2026-01-04 03:25:29.285672,0 days 00:00:02.568482,50,2.813983019477916,3.6557526447208972,3.2487885179434377,1.3137137302011632,COMPLETE
132,0.9007538118924425,2026-01-04 03:27:16.159312,2026-01-04 03:27:18.000040,0 days 00:00:01.840728,41,2.325892898016221,2.2714397003142706,3.130814293650851,1.3485492138199076,COMPLETE
82,0.9007538118924425,2026-01-04 03:25:39.875854,2026-01-04 03:25:41.758663,0 days 00:00:01.882809,50,2.3272197832850505,3.1799598460098673,3.7184946874975986,1.3774180064597539,COMPLETE
49,0.9007538118924425,2026-01-04 03:24:35.662774,2026-01-04 03:24:37.399710,0 days 00:00:01.736936,49,2.362518329010191,3.233765386704335,4.155997874930893,1.363089958324155,COMPLETE
7,0.9007538118924425,2026-01-04 03:22:50.614771,2026-01-04 03:22:52.972603,0 days 00:00:02.357832,42,2.621079631814588,3.6167946962329225,3.609227538346741,1.3758098052114909,COMPLETE
38,0.9007538118924425,2026-01-04 03:24:09.625621,2026-01-04 03:24:12.342399,0 days 00:00:02.716778,43,2.2275937853519268,3.5289363603524544,3.7223776030833116,1.3710229167786807,COMPLETE
146,0.9007538118924425,2026-01-04 03:27:43.958009,2026-01-04 03:27:45.820525,0 days 00:00:01.862516,42,2.219052354419146,3.877556990095134,4.0120006337511205,1.3781243248890405,COMPLETE
143,0.9007538118924425,2026-01-04 03:27:36.939927,2026-01-04 03:27:39.216604,0 days 00:00:02.276677,38,2.0845089182342504,3.7197420231081164,3.7530916386578386,1.3082812557540213,COMPLETE
189,0.9007538118924425,2026-01-04 03:29:28.869969,2026-01-04 03:29:30.622939,0 days 00:00:01.752970,50,2.710962755205939,3.7885141280346972,3.244510776897598,1.3622033145943426,COMPLETE
194,0.9007538118924425,2026-01-04 03:29:38.499937,2026-01-04 03:29:40.302912,0 days 00:00:01.802975,50,2.419254026571121,3.059365788336918,3.2290475077742813,1.308245564395201,COMPLETE
199,0.9007538118924425,2026-01-04 03:29:48.899856,2026-01-04 03:29:50.738100,0 days 00:00:01.838244,46,2.7851919673254164,3.4942009194157224,3.554958862550759,1.3430626287584326,COMPLETE
184,0.9007538118924425,2026-01-04 03:29:16.619805,2026-01-04 03:29:19.120720,0 days 00:00:02.500915,47,2.5128387393824116,2.3057558528578497,4.778875442880707,1.3292594351320428,COMPLETE
159,0.9007538118924425,2026-01-04 03:28:12.861510,2026-01-04 03:28:15.257873,0 days 00:00:02.396363,49,2.8091826793520567,2.380757623975244,3.75169519024827,1.329833291171696,COMPLETE
164,0.9007538118924425,2026-01-04 03:28:24.912664,2026-01-04 03:28:27.081429,0 days 00:00:02.168765,40,2.008847274898577,2.062287432051427,3.6755663917003183,1.3777245236114164,COMPLETE
122,0.9007538118924425,2026-01-04 03:26:56.185294,2026-01-04 03:26:58.100746,0 days 00:00:01.915452,37,2.4907309350417774,2.008123711067807,3.6646269920533467,1.307177352831611,COMPLETE
147,0.9007538118924425,2026-01-04 03:27:45.936343,2026-01-04 03:27:47.873640,0 days 00:00:01.937297,38,2.2924424526573284,2.0053684626937116,3.3849385899525126,1.3541403925718567,COMPLETE
73,0.9007538118924425,2026-01-04 03:25:20.876903,2026-01-04 03:25:22.841383,0 days 00:00:01.964480,49,2.9802153404180705,3.578485149703057,3.460026966455902,1.3329416880734062,COMPLETE
74,0.9007538118924425,2026-01-04 03:25:22.967607,2026-01-04 03:25:24.734375,0 days 00:00:01.766768,49,2.83381820899677,3.0872104264258016,3.4000729521018593,1.3187440751685688,COMPLETE
