number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sigmoid_margin,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,params_trim_percent,state
787,3.358581508345467,2026-01-06 23:01:58.831696,2026-01-06 23:01:58.922412,0 days 00:00:00.090716,12,38,2.4625175142856284,0.2375823220602361,2.5729080848339456,3.3468196942937447,2.0638443246331226,0.1099519148959545,COMPLETE
790,3.358581508345467,2026-01-06 23:01:59.494336,2026-01-06 23:01:59.583657,0 days 00:00:00.089321,13,39,3.220752081577872,0.20066477562844084,2.155862523012143,3.1984596185713166,2.5914905240341364,0.15125691756064627,COMPLETE
794,3.358581508345467,2026-01-06 23:02:00.436631,2026-01-06 23:02:00.520348,0 days 00:00:00.083717,13,39,3.9092723557002538,0.21216043725497197,2.9453103584266542,3.903150921905249,2.8472434920234404,0.07348925447061197,COMPLETE
944,3.358581508345467,2026-01-06 23:02:36.953835,2026-01-06 23:02:37.040631,0 days 00:00:00.086796,14,39,3.6562487398756036,0.2627833868114028,2.0872162415690356,3.68957905411517,2.6437643163255897,0.09963156853180426,COMPLETE
1914,3.358581508345467,2026-01-06 23:06:41.282817,2026-01-06 23:06:41.384812,0 days 00:00:00.101995,17,39,2.2346208228788664,0.2171039417832762,2.1009732988770398,3.0939249962029867,2.3104588908072046,0.08049725898571178,COMPLETE
1917,3.358581508345467,2026-01-06 23:06:42.080184,2026-01-06 23:06:42.207192,0 days 00:00:00.127008,17,39,2.610663781931856,0.2160501062011625,2.3810346582183564,3.0134305281734823,2.022858898205232,0.2456477959085333,COMPLETE
1931,3.358581508345467,2026-01-06 23:06:45.783762,2026-01-06 23:06:45.883411,0 days 00:00:00.099649,19,39,2.7112313736902287,0.2538406732407452,2.2824908823558436,3.128120318402466,2.877014994434245,0.056621370851705606,COMPLETE
948,3.358581508345467,2026-01-06 23:02:37.935721,2026-01-06 23:02:38.039281,0 days 00:00:00.103560,19,38,3.457625511242976,0.1882600108498127,2.841060949374868,4.407110277043146,3.920350503237518,0.01878225218066674,COMPLETE
951,3.358581508345467,2026-01-06 23:02:38.695580,2026-01-06 23:02:38.799228,0 days 00:00:00.103648,12,38,3.77311621245545,0.22762394055305205,2.629321668653649,3.3128934805265926,2.9833125954793553,0.0017401218156309212,COMPLETE
974,3.358581508345467,2026-01-06 23:02:44.073216,2026-01-06 23:02:44.157578,0 days 00:00:00.084362,12,38,3.977831748003475,0.20035032802535793,2.7797921241567725,3.2880727891168573,2.456959524975731,0.09836599556812418,COMPLETE
