number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_max_period,params_min_period,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
137,0.851561033577699,2026-01-02 22:00:47.469931,2026-01-02 22:00:49.283048,0 days 00:00:01.813117,23,56,2.1029680737888836,22,3,1.72308689806,4.4119317350703,2.3401356582376645,COMPLETE
50,0.851561033577699,2026-01-02 21:58:05.083004,2026-01-02 21:58:06.705948,0 days 00:00:01.622944,18,56,2.261423253684658,22,3,1.833055944132553,5.195629666163462,2.3947549403181982,COMPLETE
167,0.8514247877429639,2026-01-02 22:01:46.673129,2026-01-02 22:01:48.563889,0 days 00:00:01.890760,24,51,2.048872692037086,22,3,1.6986570548105215,3.2737334510298206,1.325793700818166,COMPLETE
166,0.8514247877429639,2026-01-02 22:01:44.709311,2026-01-02 22:01:46.550453,0 days 00:00:01.841142,25,53,1.8929803267016263,22,3,1.5739241753438538,2.888340176691857,1.2957253259927333,COMPLETE
184,0.8514247877429639,2026-01-02 22:02:20.584470,2026-01-02 22:02:22.483434,0 days 00:00:01.898964,20,54,1.7123539320919596,22,3,2.85361208625341,2.3757249818608583,1.2222833338837666,COMPLETE
173,0.8513238408344254,2026-01-02 22:01:58.539984,2026-01-02 22:02:00.371205,0 days 00:00:01.831221,22,56,1.6063404131499843,22,3,2.102657239007225,3.7633010764532617,1.3691539403755246,COMPLETE
22,0.849121665377133,2026-01-02 21:57:14.011392,2026-01-02 21:57:15.624296,0 days 00:00:01.612904,20,43,1.5801497027519433,21,3,1.7664704212081936,5.55867509368947,1.681080606648642,COMPLETE
80,0.849121665377133,2026-01-02 21:58:58.893665,2026-01-02 21:59:01.052534,0 days 00:00:02.158869,17,48,1.808049511469057,21,3,1.594967003037707,5.071023667222153,1.578073594554223,COMPLETE
105,0.849121665377133,2026-01-02 21:59:44.496471,2026-01-02 21:59:46.150557,0 days 00:00:01.654086,19,43,1.5006275006476901,21,3,2.009411917302853,5.326669677707915,1.6939162374187957,COMPLETE
188,0.8490622045798802,2026-01-02 22:02:28.562221,2026-01-02 22:02:30.322078,0 days 00:00:01.759857,20,55,1.8699307526664417,21,3,2.30097184902469,1.7672183016933465,1.5061638391859897,COMPLETE
149,0.8490622045798802,2026-01-02 22:01:11.072076,2026-01-02 22:01:13.369854,0 days 00:00:02.297778,21,55,1.6751247681139319,21,3,1.934522123237824,4.413610161712585,1.5403470477988206,COMPLETE
170,0.8489856459392496,2026-01-02 22:01:52.742467,2026-01-02 22:01:54.504818,0 days 00:00:01.762351,21,56,2.270784767599638,21,3,1.7365052297887154,3.812878406870639,1.3519916196242543,COMPLETE
174,0.8489546534463935,2026-01-02 22:02:00.485468,2026-01-02 22:02:02.216809,0 days 00:00:01.731341,20,59,1.604422918980686,21,3,2.7040267696178546,3.046283537933732,1.2648639552953758,COMPLETE
164,0.8488199593625401,2026-01-02 22:01:40.964992,2026-01-02 22:01:42.714390,0 days 00:00:01.749398,24,53,1.7892483963027885,21,3,1.6895079770598582,3.824273236761759,1.1996339789777215,COMPLETE
139,0.8487878130783393,2026-01-02 22:00:51.293212,2026-01-02 22:00:53.075308,0 days 00:00:01.782096,24,51,1.5850850506555552,21,3,1.5002733164411444,4.194869863764919,2.0433381525362937,COMPLETE
97,0.8487878130783393,2026-01-02 21:59:30.218933,2026-01-02 21:59:31.903998,0 days 00:00:01.685065,20,55,2.3508520082161732,21,3,1.7203384795502081,5.820879555059223,1.881193687076399,COMPLETE
87,0.8487878130783393,2026-01-02 21:59:12.375838,2026-01-02 21:59:14.005126,0 days 00:00:01.629288,18,57,2.2838684168443573,21,3,1.864961149680628,5.436631653659698,1.986217986298235,COMPLETE
92,0.8487878130783393,2026-01-02 21:59:21.197148,2026-01-02 21:59:22.856385,0 days 00:00:01.659237,18,58,2.258498878861115,21,3,1.5341660135645807,5.550650989025689,2.295060881381242,COMPLETE
31,0.8487878130783393,2026-01-02 21:57:30.020811,2026-01-02 21:57:31.667490,0 days 00:00:01.646679,23,51,1.745881401650247,21,3,1.5174249934893038,5.42559745889361,1.9630369168282065,COMPLETE
46,0.8487878130783393,2026-01-02 21:57:57.873478,2026-01-02 21:57:59.703973,0 days 00:00:01.830495,16,52,2.4190677904795677,21,3,1.551945800043217,5.953200766123408,2.706536218235755,COMPLETE
40,0.847284430991716,2026-01-02 21:57:45.984670,2026-01-02 21:57:47.598684,0 days 00:00:01.614014,20,45,2.605581493052209,21,5,1.7511734058973336,5.339691891072855,2.275030663405567,COMPLETE
28,0.847284430991716,2026-01-02 21:57:24.717045,2026-01-02 21:57:26.379217,0 days 00:00:01.662172,23,40,1.8711994025681347,21,5,2.1556829148764356,4.218313769501557,2.405045230635766,COMPLETE
138,0.847284430991716,2026-01-02 22:00:49.405702,2026-01-02 22:00:51.181638,0 days 00:00:01.775936,23,58,1.9908040793020245,21,5,1.7846176055145662,4.812924323463105,2.9301463796692118,COMPLETE
89,0.8470426474265953,2026-01-02 21:59:15.847589,2026-01-02 21:59:17.552634,0 days 00:00:01.705045,18,57,2.4797383893688023,20,4,2.219505727426604,5.099474000474042,1.7463502487299678,COMPLETE
129,0.8470426474265953,2026-01-02 22:00:32.099515,2026-01-02 22:00:33.813044,0 days 00:00:01.713529,17,42,1.9368216876308155,20,4,1.8672436556760261,5.667455298537335,1.602127828684427,COMPLETE
123,0.8469828649712431,2026-01-02 22:00:20.281699,2026-01-02 22:00:22.222122,0 days 00:00:01.940423,14,45,1.991228951433674,20,4,1.589776313622763,5.657421361703247,1.4637392230308643,COMPLETE
140,0.8466791941775755,2026-01-02 22:00:53.187885,2026-01-02 22:00:54.944856,0 days 00:00:01.756971,22,60,1.8789403490619598,20,4,2.7354633648532016,4.2206001155174615,2.118166827421807,COMPLETE
54,0.8466791941775755,2026-01-02 21:58:12.172289,2026-01-02 21:58:13.793662,0 days 00:00:01.621373,18,52,2.246806430792096,20,4,2.502041577095662,5.371793970703472,2.0014812648096716,COMPLETE
68,0.8466791941775755,2026-01-02 21:58:37.200435,2026-01-02 21:58:38.907365,0 days 00:00:01.706930,24,49,3.4438978092414674,20,4,2.9827560711946295,2.923690861568544,1.9467814633526825,COMPLETE
124,0.8466791941775755,2026-01-02 22:00:22.338532,2026-01-02 22:00:24.163498,0 days 00:00:01.824966,19,56,2.3404882723684897,20,4,3.603575106965248,2.041768976718787,2.9328281601852524,COMPLETE
74,0.8466791941775755,2026-01-02 21:58:47.875786,2026-01-02 21:58:49.521291,0 days 00:00:01.645505,20,40,2.1222258822739533,20,4,2.5547602125108346,3.846131814269982,2.246930924666907,COMPLETE
108,0.8466653267182978,2026-01-02 21:59:49.770730,2026-01-02 21:59:51.386379,0 days 00:00:01.615649,21,40,1.958841467351445,23,3,2.022920589124203,5.876420977572214,1.6256602561363478,COMPLETE
135,0.8466653267182978,2026-01-02 22:00:43.508718,2026-01-02 22:00:45.356773,0 days 00:00:01.848055,17,40,2.1937883901469304,23,3,1.852384799241478,4.583859796022143,1.7768689525675383,COMPLETE
32,0.8466653267182978,2026-01-02 21:57:31.770451,2026-01-02 21:57:33.434999,0 days 00:00:01.664548,21,52,1.971883234375671,23,3,1.5435458707157381,5.098444542593134,1.6622681716001655,COMPLETE
23,0.8464686763591511,2026-01-02 21:57:15.737337,2026-01-02 21:57:17.431079,0 days 00:00:01.693742,17,43,1.5959660483706144,20,4,2.031759196524096,4.918098388912966,1.1870121682975021,COMPLETE
176,0.8464034634363328,2026-01-02 22:02:04.220075,2026-01-02 22:02:05.995751,0 days 00:00:01.775676,21,47,2.206925669363953,23,3,1.690893634336454,3.0305503777097593,1.5197244430450725,COMPLETE
27,0.8462886278763021,2026-01-02 21:57:22.859733,2026-01-02 21:57:24.598700,0 days 00:00:01.738967,22,42,1.5519085040974527,23,3,1.99369376406271,4.510810158892522,2.101780595200225,COMPLETE
60,0.8462886278763021,2026-01-02 21:58:22.665966,2026-01-02 21:58:24.364376,0 days 00:00:01.698410,20,52,2.051164726774813,23,3,1.9707366460139584,4.962952400081939,2.324412592222746,COMPLETE
104,0.8462886278763021,2026-01-02 21:59:42.731934,2026-01-02 21:59:44.385331,0 days 00:00:01.653397,24,56,2.58548623565302,23,3,1.9068516573303957,4.163596460920081,2.7020754926481967,COMPLETE
122,0.8462886278763021,2026-01-02 22:00:18.277196,2026-01-02 22:00:20.164721,0 days 00:00:01.887525,16,59,1.6620649882996519,23,3,3.048499125137101,2.467102879473783,2.4168538257755556,COMPLETE
86,0.8462886278763021,2026-01-02 21:59:10.618790,2026-01-02 21:59:12.273226,0 days 00:00:01.654436,20,50,1.5982022577430306,23,3,1.8055243088273947,4.6922031468375085,1.9920948342339095,COMPLETE
183,0.8461802694893097,2026-01-02 22:02:18.006450,2026-01-02 22:02:20.460472,0 days 00:00:02.454022,23,54,1.5993903388325228,23,3,2.8550443622223254,3.4479799121311068,1.4274847688300234,COMPLETE
55,0.8461802694893097,2026-01-02 21:58:13.897704,2026-01-02 21:58:15.559320,0 days 00:00:01.661616,23,43,1.5124949975206419,23,3,1.805910535211991,5.468072286292875,1.4100547473583869,COMPLETE
179,0.8460239112982307,2026-01-02 22:02:09.995253,2026-01-02 22:02:11.852921,0 days 00:00:01.857668,20,52,2.336648623748506,20,4,2.2631852815812525,2.648484330916074,1.1370121573246317,COMPLETE
168,0.8459473517412679,2026-01-02 22:01:48.733655,2026-01-02 22:01:50.615305,0 days 00:00:01.881650,25,51,1.8741626129461695,23,3,1.74930834104195,1.6874695527241652,1.2550501553388107,COMPLETE
185,0.8458192772503609,2026-01-02 22:02:22.642471,2026-01-02 22:02:24.467151,0 days 00:00:01.824680,23,50,2.237056556045985,23,3,1.5521838911565247,3.4779035174877007,1.0438691432623257,COMPLETE
25,0.845205144378401,2026-01-02 21:57:19.280347,2026-01-02 21:57:20.903561,0 days 00:00:01.623214,20,41,1.5217996454756384,23,3,2.7658476467292905,3.113393885472752,1.1207247432438678,COMPLETE
59,0.8445545832625084,2026-01-02 21:58:20.948255,2026-01-02 21:58:22.563041,0 days 00:00:01.614786,12,60,2.755404509830703,24,4,2.114196821485954,4.157317442689667,2.341865656672467,COMPLETE
65,0.8445545832625084,2026-01-02 21:58:31.938551,2026-01-02 21:58:33.588059,0 days 00:00:01.649508,25,51,1.9299212892579,24,4,1.8816508139993753,3.642033772055513,1.846842465039142,COMPLETE
189,0.8445246322415595,2026-01-02 22:02:30.502086,2026-01-02 22:02:32.287307,0 days 00:00:01.785221,19,54,1.911508533290678,23,4,2.926504657244772,2.5606438528402937,1.486535904481274,COMPLETE
53,0.8441971288455097,2026-01-02 21:58:10.442149,2026-01-02 21:58:12.061543,0 days 00:00:01.619394,19,58,2.1871097577939413,23,4,2.0497147912702656,5.730353260818486,2.5844182942120226,COMPLETE
126,0.8441971288455097,2026-01-02 22:00:26.261585,2026-01-02 22:00:28.042423,0 days 00:00:01.780838,12,56,2.272950064151443,23,4,2.8824966445680493,2.4367773258360006,2.744012066353367,COMPLETE
162,0.8441971288455097,2026-01-02 22:01:37.035884,2026-01-02 22:01:38.988394,0 days 00:00:01.952510,20,48,1.6444279259627463,23,4,2.125669354391819,3.046274043536818,2.170290181754314,COMPLETE
39,0.8441971288455097,2026-01-02 21:57:44.145015,2026-01-02 21:57:45.865127,0 days 00:00:01.720112,23,42,2.0000895940079086,23,4,2.091771698652057,2.958901406450001,2.4954893318817586,COMPLETE
30,0.8441971288455097,2026-01-02 21:57:28.284358,2026-01-02 21:57:29.916607,0 days 00:00:01.632249,23,41,2.4333163249059813,23,4,2.925285978814469,4.4971932843439895,2.4763332276955587,COMPLETE
181,0.8430223395570259,2026-01-02 22:02:13.840367,2026-01-02 22:02:15.616085,0 days 00:00:01.775718,20,58,1.6932456897702786,24,4,3.132836363622426,3.46129769426831,1.1490222794519016,COMPLETE
186,0.8429542552084066,2026-01-02 22:02:24.581540,2026-01-02 22:02:26.334838,0 days 00:00:01.753298,12,55,1.9853032072833885,23,4,2.483099326537947,1.6287487897740345,1.1078039903977228,COMPLETE
171,0.8415804899596216,2026-01-02 22:01:54.617896,2026-01-02 22:01:56.485441,0 days 00:00:01.867545,24,54,2.1619644163734497,24,3,1.5863183158798297,3.839779242242905,1.6793900142555462,COMPLETE
7,0.8415804899596216,2026-01-02 21:56:45.711401,2026-01-02 21:56:48.169515,0 days 00:00:02.458114,16,40,2.150660661526529,24,3,2.1783725794347397,5.229318791183682,1.7135066533871786,COMPLETE
163,0.8415804899596216,2026-01-02 22:01:39.107308,2026-01-02 22:01:40.852725,0 days 00:00:01.745417,23,57,1.619372866366306,24,3,1.7307328620080864,5.179518632023366,1.7249049374051764,COMPLETE
198,0.8415239879552929,2026-01-02 22:02:47.347623,2026-01-02 22:02:49.105878,0 days 00:00:01.758255,15,42,2.6927720603976795,24,3,1.663483878443611,5.949209028578855,1.5099802879148574,COMPLETE
35,0.8413701081182868,2026-01-02 21:57:37.061653,2026-01-02 21:57:38.797861,0 days 00:00:01.736208,24,59,1.89749758823474,24,3,2.140243990549876,3.9131390928821963,1.6494168821835586,COMPLETE
130,0.8412970327659995,2026-01-02 22:00:33.923923,2026-01-02 22:00:35.751652,0 days 00:00:01.827729,17,42,1.7194180782234323,24,3,1.6634994329711423,5.8915461776993086,1.434241609573092,COMPLETE
99,0.8411976584543457,2026-01-02 21:59:33.811824,2026-01-02 21:59:35.491585,0 days 00:00:01.679761,22,50,2.441822330669168,24,3,2.2706325349711527,5.726863682872212,2.742911103514268,COMPLETE
147,0.8411976584543457,2026-01-02 22:01:07.136408,2026-01-02 22:01:08.943660,0 days 00:00:01.807252,21,57,1.8796238079703507,24,3,1.5209902744632917,5.392455030967051,2.5549870824195318,COMPLETE
187,0.8411976584543457,2026-01-02 22:02:26.450790,2026-01-02 22:02:28.402268,0 days 00:00:01.951478,21,48,1.577997127648727,24,3,1.5468149886265778,3.5429520090415814,2.6190452953842223,COMPLETE
88,0.8411976584543457,2026-01-02 21:59:14.108123,2026-01-02 21:59:15.737600,0 days 00:00:01.629477,18,59,1.6395337443905642,24,3,2.156886874892935,5.35191987868544,2.0527729835114443,COMPLETE
127,0.8411976584543457,2026-01-02 22:00:28.159162,2026-01-02 22:00:29.944530,0 days 00:00:01.785368,19,55,2.142226502749302,24,3,2.3576741691433987,1.8927608256933164,2.7247240050242443,COMPLETE
106,0.8411976584543457,2026-01-02 21:59:46.261158,2026-01-02 21:59:47.883967,0 days 00:00:01.622809,23,41,2.0428368792380684,24,3,2.358977422387321,5.749261773676549,1.9539750807482454,COMPLETE
61,0.8411976584543457,2026-01-02 21:58:24.492236,2026-01-02 21:58:26.299954,0 days 00:00:01.807718,17,56,2.0948725644863018,24,3,1.6076424218822685,4.3115164750140265,2.382335929049523,COMPLETE
115,0.840381212741807,2026-01-02 22:00:02.943555,2026-01-02 22:00:05.109283,0 days 00:00:02.165728,19,47,1.5593773887983018,20,3,1.7575785500482124,4.904468739530944,1.7154877086186204,COMPLETE
107,0.840381212741807,2026-01-02 21:59:47.996663,2026-01-02 21:59:49.662500,0 days 00:00:01.665837,18,41,1.5025552995134155,20,3,2.349539673878293,5.497911974801712,1.596464550334096,COMPLETE
150,0.840381212741807,2026-01-02 22:01:13.492183,2026-01-02 22:01:15.686402,0 days 00:00:02.194219,20,52,1.5853296776828067,20,3,2.0396835450461657,3.961971162029154,1.676350124792377,COMPLETE
180,0.8403224520147081,2026-01-02 22:02:11.973043,2026-01-02 22:02:13.712199,0 days 00:00:01.739156,24,59,1.6365215313572044,20,3,2.1670465258579514,3.829085309875531,1.5117096807097719,COMPLETE
155,0.8402215444483495,2026-01-02 22:01:23.673535,2026-01-02 22:01:25.468625,0 days 00:00:01.795090,21,57,1.5251707935987964,24,3,1.8849466107916222,4.667906112615353,1.1043694849951908,COMPLETE
81,0.840195235648726,2026-01-02 21:59:01.153932,2026-01-02 21:59:03.249657,0 days 00:00:02.095725,16,50,2.0709606422080484,20,3,1.722402502962269,4.746076996137185,1.3195605844504446,COMPLETE
26,0.840195235648726,2026-01-02 21:57:21.005886,2026-01-02 21:57:22.737102,0 days 00:00:01.731216,20,43,1.693018823820477,20,3,2.7616539118925,2.7699721879695365,1.2390709289855564,COMPLETE
172,0.8400880923897133,2026-01-02 22:01:56.605186,2026-01-02 22:01:58.384365,0 days 00:00:01.779179,18,56,2.2409546802922584,20,3,1.6005728310071903,3.537142666628666,1.4414973951659433,COMPLETE
128,0.8400253795275587,2026-01-02 22:00:30.064000,2026-01-02 22:00:31.985035,0 days 00:00:01.921035,14,58,2.107862280974004,20,3,3.1027526093256945,1.5543503221469734,2.4562563044311037,COMPLETE
78,0.8400253795275587,2026-01-02 21:58:54.899860,2026-01-02 21:58:56.779194,0 days 00:00:01.879334,17,55,2.8411997961378703,20,3,1.6431181433626134,5.719238230172928,2.854406365700726,COMPLETE
159,0.8400253795275587,2026-01-02 22:01:31.410995,2026-01-02 22:01:33.178760,0 days 00:00:01.767765,25,54,2.240548146649138,20,3,2.409599357274876,5.0189057917024265,2.1171657918049163,COMPLETE
143,0.8400253795275587,2026-01-02 22:00:59.237397,2026-01-02 22:01:00.959285,0 days 00:00:01.721888,21,57,2.282867472302148,20,3,1.9515995270890183,4.124299031487335,2.3652961146912426,COMPLETE
154,0.8400253795275587,2026-01-02 22:01:21.767642,2026-01-02 22:01:23.549973,0 days 00:00:01.782331,17,52,1.872161514860593,20,3,3.172576784015779,1.5242140251256358,2.9911369270060333,COMPLETE
113,0.8400253795275587,2026-01-02 21:59:58.880516,2026-01-02 22:00:00.854126,0 days 00:00:01.973610,18,53,2.0711424850480435,20,3,2.3600988091262414,5.684968897794418,2.7122706388059603,COMPLETE
91,0.8400253795275587,2026-01-02 21:59:19.457061,2026-01-02 21:59:21.093538,0 days 00:00:01.636477,20,47,1.9263030646261452,20,3,1.5693843179617148,5.676829157185691,2.112206006613498,COMPLETE
64,0.8400253795275587,2026-01-02 21:58:30.070630,2026-01-02 21:58:31.834897,0 days 00:00:01.764267,17,54,2.539889338983878,20,3,1.7433512395914226,4.970927660169981,2.423833419874088,COMPLETE
45,0.8400253795275587,2026-01-02 21:57:55.552689,2026-01-02 21:57:57.750508,0 days 00:00:02.197819,15,40,1.617366879860367,20,3,1.7353537320597445,5.735361514830765,2.080056028869541,COMPLETE
67,0.8400253795275587,2026-01-02 21:58:35.464300,2026-01-02 21:58:37.098130,0 days 00:00:01.633830,22,48,2.0953122140202773,20,3,1.5948817356773994,5.25231271652845,2.8646457201573976,COMPLETE
62,0.8400253795275587,2026-01-02 21:58:26.403407,2026-01-02 21:58:28.064708,0 days 00:00:01.661301,24,52,1.5750797229922977,20,3,2.180697131720698,4.148506491776169,2.5935836391454803,COMPLETE
38,0.8400253795275587,2026-01-02 21:57:42.370169,2026-01-02 21:57:44.041504,0 days 00:00:01.671335,25,52,1.5165865337549609,20,3,1.7283248877540665,5.594051925663546,1.8594440871445186,COMPLETE
43,0.8400253795275587,2026-01-02 21:57:51.222899,2026-01-02 21:57:53.200585,0 days 00:00:01.977686,18,49,2.4528299331576204,20,3,2.068933536156599,4.624738313390208,2.9782579090470422,COMPLETE
47,0.8400253795275587,2026-01-02 21:57:59.829287,2026-01-02 21:58:01.458510,0 days 00:00:01.629223,11,51,2.3740571782530915,20,3,1.8426446681582345,5.8679672566851355,2.88912469934566,COMPLETE
76,0.8400253795275587,2026-01-02 21:58:51.376796,2026-01-02 21:58:53.016139,0 days 00:00:01.639343,25,49,2.5385003371561057,20,3,1.5618343300554756,4.42264951592851,1.9380850147709199,COMPLETE
36,0.8399830565414779,2026-01-02 21:57:38.901436,2026-01-02 21:57:40.524175,0 days 00:00:01.622739,23,54,1.6309118219447323,20,3,2.469671567012158,5.258694011081208,1.1490901330879697,COMPLETE
52,0.8384433194986701,2026-01-02 21:58:08.635853,2026-01-02 21:58:10.334713,0 days 00:00:01.698860,16,51,2.526506696381641,25,3,1.7642306535977705,5.5699375473691495,2.671189851441093,COMPLETE
44,0.8384433194986701,2026-01-02 21:57:53.475630,2026-01-02 21:57:55.443012,0 days 00:00:01.967382,20,54,2.9030798588153774,25,3,2.3373511871653383,5.333672022446154,2.4608615008135866,COMPLETE
157,0.8384433194986701,2026-01-02 22:01:27.504039,2026-01-02 22:01:29.356574,0 days 00:00:01.852535,20,40,1.7286118399827144,25,3,1.543579829551337,5.908565434312935,1.9003434542879198,COMPLETE
63,0.8384433194986701,2026-01-02 21:58:28.176416,2026-01-02 21:58:29.910728,0 days 00:00:01.734312,24,60,1.7780976425290977,25,3,1.6270515666009435,5.163945716505648,2.1772148875788804,COMPLETE
51,0.837284324682197,2026-01-02 21:58:06.839730,2026-01-02 21:58:08.529635,0 days 00:00:01.689905,14,55,1.9408013209128971,22,4,1.6909908512934864,5.889267526351698,2.279001335617873,COMPLETE
71,0.837284324682197,2026-01-02 21:58:42.595322,2026-01-02 21:58:44.235837,0 days 00:00:01.640515,19,47,1.683806991419951,22,4,1.9534372513193328,5.907805981222631,2.1468952493827973,COMPLETE
58,0.837284324682197,2026-01-02 21:58:19.170876,2026-01-02 21:58:20.845556,0 days 00:00:01.674680,22,55,1.648433902898433,22,4,1.8341990621018147,3.739728707978092,2.325951957307582,COMPLETE
93,0.837284324682197,2026-01-02 21:59:22.964834,2026-01-02 21:59:24.646434,0 days 00:00:01.681600,21,59,2.336675374962476,22,4,1.844387478370372,4.92319158041865,2.1728175435938444,COMPLETE
132,0.837284324682197,2026-01-02 22:00:37.742644,2026-01-02 22:00:39.568611,0 days 00:00:01.825967,18,49,2.2917286337746714,22,4,1.8380809540815248,5.828503204582086,2.9260013972033003,COMPLETE
165,0.8369144011085922,2026-01-02 22:01:42.829583,2026-01-02 22:01:44.593641,0 days 00:00:01.764058,22,60,2.145438316979352,22,4,2.0362151734525535,3.354983989674189,1.2139959271836012,COMPLETE
83,0.8353580194019462,2026-01-02 21:59:05.257339,2026-01-02 21:59:06.919231,0 days 00:00:01.661892,19,45,1.979743913315165,21,4,1.5540855820163335,4.501971581523565,1.6676518788387806,COMPLETE
148,0.8353580194019462,2026-01-02 22:01:09.065296,2026-01-02 22:01:10.953984,0 days 00:00:01.888688,22,53,1.5881239617087928,21,4,1.6164105021941426,5.19632879568847,1.5964430120082886,COMPLETE
57,0.8349857926475088,2026-01-02 21:58:17.420852,2026-01-02 21:58:19.067753,0 days 00:00:01.646901,24,52,1.5947777726153798,21,4,2.3154136433292343,2.544328237997559,2.779552760959403,COMPLETE
145,0.8348582509291699,2026-01-02 22:01:02.936057,2026-01-02 22:01:04.821982,0 days 00:00:01.885925,24,58,1.7027278917019006,21,4,1.9230848456814482,5.154986012887806,1.4413741894388126,COMPLETE
77,0.8348582509291699,2026-01-02 21:58:53.118944,2026-01-02 21:58:54.765233,0 days 00:00:01.646289,24,56,2.2636998900076826,21,4,1.7479274823117859,5.231561041933081,1.4707674013457785,COMPLETE
0,0.8346819157385791,2026-01-02 21:56:27.439640,2026-01-02 21:56:35.045478,0 days 00:00:07.605838,12,55,2.697316968394073,39,5,1.8899863008405067,1.7613762547568976,2.73235229154987,COMPLETE
182,0.834626522285764,2026-01-02 22:02:15.736221,2026-01-02 22:02:17.885145,0 days 00:00:02.148924,18,60,1.7946221482726377,21,4,2.229903349564486,3.2005429488792885,1.2901255411746009,COMPLETE
114,0.8323134875752154,2026-01-02 22:00:00.983960,2026-01-02 22:00:02.818939,0 days 00:00:01.834979,15,48,1.8454278521098442,26,3,1.6460727607813765,5.973825031274638,2.702796240277556,COMPLETE
133,0.8323134875752154,2026-01-02 22:00:39.679944,2026-01-02 22:00:41.484343,0 days 00:00:01.804399,16,44,2.3289993067512667,26,3,1.623985859546604,5.503111265155087,2.013947655829377,COMPLETE
98,0.8323134875752154,2026-01-02 21:59:32.009082,2026-01-02 21:59:33.687450,0 days 00:00:01.678368,18,60,2.467994032685496,26,3,1.7136848420254476,5.577946527744252,2.0308434548248373,COMPLETE
144,0.8321721250543422,2026-01-02 22:01:01.072693,2026-01-02 22:01:02.818021,0 days 00:00:01.745328,25,55,2.229133285538544,25,4,1.5364844216992832,4.563517558653996,2.316544238831812,COMPLETE
96,0.8321721250543422,2026-01-02 21:59:28.460848,2026-01-02 21:59:30.118033,0 days 00:00:01.657185,25,54,1.5524311339072203,25,4,2.0907148450967394,4.5815245413989505,1.8038674401417376,COMPLETE
195,0.83201643044006,2026-01-02 22:02:41.771614,2026-01-02 22:02:43.476426,0 days 00:00:01.704812,12,42,2.085995278679484,25,4,1.9032580606183438,5.195520451606731,1.1732550612178065,COMPLETE
18,0.8319251684690547,2026-01-02 21:57:06.862727,2026-01-02 21:57:08.556114,0 days 00:00:01.693387,10,52,2.505358046457723,20,5,2.1966161605915286,5.587196486849941,1.4791237813339448,COMPLETE
193,0.8319030831342275,2026-01-02 22:02:37.986068,2026-01-02 22:02:39.741082,0 days 00:00:01.755014,22,55,1.6525380753584167,20,5,2.2423649914072095,1.842477198176254,1.6329942771674004,COMPLETE
134,0.8316098863192251,2026-01-02 22:00:41.600651,2026-01-02 22:00:43.385367,0 days 00:00:01.784716,20,59,1.7159168106478857,20,5,2.8284356283029704,1.8055310348172626,2.7885770194961346,COMPLETE
192,0.8316098863192251,2026-01-02 22:02:36.144538,2026-01-02 22:02:37.853018,0 days 00:00:01.708480,19,56,2.020373575043367,20,5,1.9653986112335575,1.7464361005281632,1.9969009101264055,COMPLETE
