number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,state
2120,3.1118036734607606,2026-01-07 04:09:30.241864,2026-01-07 04:09:30.290518,0 days 00:00:00.048654,46,38,COMPLETE
2122,3.1118036734607606,2026-01-07 04:09:30.593990,2026-01-07 04:09:30.648452,0 days 00:00:00.054462,36,39,COMPLETE
2123,3.1118036734607606,2026-01-07 04:09:30.786149,2026-01-07 04:09:30.840856,0 days 00:00:00.054707,42,38,COMPLETE
2127,3.1118036734607606,2026-01-07 04:09:31.508790,2026-01-07 04:09:31.556556,0 days 00:00:00.047766,43,38,COMPLETE
2102,3.1118036734607606,2026-01-07 04:09:26.894321,2026-01-07 04:09:26.942842,0 days 00:00:00.048521,41,39,COMPLETE
3917,3.1118036734607606,2026-01-07 04:15:32.386501,2026-01-07 04:15:32.442386,0 days 00:00:00.055885,47,39,COMPLETE
3926,3.1118036734607606,2026-01-07 04:15:34.133838,2026-01-07 04:15:34.194768,0 days 00:00:00.060930,40,39,COMPLETE
2106,3.1118036734607606,2026-01-07 04:09:27.579701,2026-01-07 04:09:27.630287,0 days 00:00:00.050586,46,38,COMPLETE
2110,3.1118036734607606,2026-01-07 04:09:28.344198,2026-01-07 04:09:28.394075,0 days 00:00:00.049877,39,38,COMPLETE
2703,3.1118036734607606,2026-01-07 04:11:25.298668,2026-01-07 04:11:25.349997,0 days 00:00:00.051329,37,38,COMPLETE
2084,3.1118036734607606,2026-01-07 04:09:23.582104,2026-01-07 04:09:23.630669,0 days 00:00:00.048565,41,38,COMPLETE
2087,3.1118036734607606,2026-01-07 04:09:24.155368,2026-01-07 04:09:24.205453,0 days 00:00:00.050085,33,38,COMPLETE
2706,3.1118036734607606,2026-01-07 04:11:25.926429,2026-01-07 04:11:25.992443,0 days 00:00:00.066014,50,38,COMPLETE
2718,3.1118036734607606,2026-01-07 04:11:28.418211,2026-01-07 04:11:28.527504,0 days 00:00:00.109293,44,38,COMPLETE
2064,3.1118036734607606,2026-01-07 04:09:19.881250,2026-01-07 04:09:19.931554,0 days 00:00:00.050304,44,38,COMPLETE
2071,3.1118036734607606,2026-01-07 04:09:21.143805,2026-01-07 04:09:21.196042,0 days 00:00:00.052237,46,38,COMPLETE
2052,3.1118036734607606,2026-01-07 04:09:17.432631,2026-01-07 04:09:17.483868,0 days 00:00:00.051237,35,39,COMPLETE
2054,3.1118036734607606,2026-01-07 04:09:17.898033,2026-01-07 04:09:17.951684,0 days 00:00:00.053651,47,38,COMPLETE
2059,3.1118036734607606,2026-01-07 04:09:18.918150,2026-01-07 04:09:18.975087,0 days 00:00:00.056937,39,38,COMPLETE
2723,3.1118036734607606,2026-01-07 04:11:29.484547,2026-01-07 04:11:29.535908,0 days 00:00:00.051361,46,38,COMPLETE
2725,3.1118036734607606,2026-01-07 04:11:30.001521,2026-01-07 04:11:30.057497,0 days 00:00:00.055976,38,39,COMPLETE
2733,3.1118036734607606,2026-01-07 04:11:31.470112,2026-01-07 04:11:31.516491,0 days 00:00:00.046379,47,39,COMPLETE
2032,3.1118036734607606,2026-01-07 04:09:13.278346,2026-01-07 04:09:13.342167,0 days 00:00:00.063821,50,38,COMPLETE
2033,3.1118036734607606,2026-01-07 04:09:13.557740,2026-01-07 04:09:13.611120,0 days 00:00:00.053380,40,38,COMPLETE
2041,3.1118036734607606,2026-01-07 04:09:15.331344,2026-01-07 04:09:15.378058,0 days 00:00:00.046714,43,38,COMPLETE
2043,3.1118036734607606,2026-01-07 04:09:15.658921,2026-01-07 04:09:15.713823,0 days 00:00:00.054902,38,38,COMPLETE
2021,3.1118036734607606,2026-01-07 04:09:10.962078,2026-01-07 04:09:11.011222,0 days 00:00:00.049144,50,39,COMPLETE
2024,3.1118036734607606,2026-01-07 04:09:11.505011,2026-01-07 04:09:11.555868,0 days 00:00:00.050857,45,38,COMPLETE
2738,3.1118036734607606,2026-01-07 04:11:32.398658,2026-01-07 04:11:32.456750,0 days 00:00:00.058092,34,38,COMPLETE
2000,3.1118036734607606,2026-01-07 04:09:06.974122,2026-01-07 04:09:07.022950,0 days 00:00:00.048828,34,38,COMPLETE
2003,3.1118036734607606,2026-01-07 04:09:07.498996,2026-01-07 04:09:07.547628,0 days 00:00:00.048632,40,38,COMPLETE
2011,3.1118036734607606,2026-01-07 04:09:09.118573,2026-01-07 04:09:09.166762,0 days 00:00:00.048189,47,38,COMPLETE
2013,3.1118036734607606,2026-01-07 04:09:09.457824,2026-01-07 04:09:09.510613,0 days 00:00:00.052789,35,39,COMPLETE
2015,3.1118036734607606,2026-01-07 04:09:09.842720,2026-01-07 04:09:09.895079,0 days 00:00:00.052359,43,38,COMPLETE
2756,3.1118036734607606,2026-01-07 04:11:35.727750,2026-01-07 04:11:35.782209,0 days 00:00:00.054459,46,38,COMPLETE
2760,3.1118036734607606,2026-01-07 04:11:36.499785,2026-01-07 04:11:36.554701,0 days 00:00:00.054916,50,39,COMPLETE
155,3.1118036734607606,2026-01-07 04:03:29.224634,2026-01-07 04:03:29.267229,0 days 00:00:00.042595,38,39,COMPLETE
3889,3.1118036734607606,2026-01-07 04:15:26.723925,2026-01-07 04:15:26.786989,0 days 00:00:00.063064,50,39,COMPLETE
2767,3.1118036734607606,2026-01-07 04:11:37.819102,2026-01-07 04:11:37.871847,0 days 00:00:00.052745,28,38,COMPLETE
1988,3.1118036734607606,2026-01-07 04:09:04.772503,2026-01-07 04:09:04.834482,0 days 00:00:00.061979,47,39,COMPLETE
2769,3.1118036734607606,2026-01-07 04:11:38.247109,2026-01-07 04:11:38.297084,0 days 00:00:00.049975,46,38,COMPLETE
2780,3.1118036734607606,2026-01-07 04:11:40.441984,2026-01-07 04:11:40.498219,0 days 00:00:00.056235,47,39,COMPLETE
1977,3.1118036734607606,2026-01-07 04:09:02.755021,2026-01-07 04:09:02.817054,0 days 00:00:00.062033,46,39,COMPLETE
1960,3.1118036734607606,2026-01-07 04:08:59.524111,2026-01-07 04:08:59.575150,0 days 00:00:00.051039,50,38,COMPLETE
1965,3.1118036734607606,2026-01-07 04:09:00.434051,2026-01-07 04:09:00.487164,0 days 00:00:00.053113,31,38,COMPLETE
1936,3.1118036734607606,2026-01-07 04:08:54.974189,2026-01-07 04:08:55.022201,0 days 00:00:00.048012,47,39,COMPLETE
1939,3.1118036734607606,2026-01-07 04:08:55.519745,2026-01-07 04:08:55.571047,0 days 00:00:00.051302,43,38,COMPLETE
1945,3.1118036734607606,2026-01-07 04:08:56.574586,2026-01-07 04:08:56.623345,0 days 00:00:00.048759,43,38,COMPLETE
1946,3.1118036734607606,2026-01-07 04:08:56.777596,2026-01-07 04:08:56.838029,0 days 00:00:00.060433,39,38,COMPLETE
1947,3.1118036734607606,2026-01-07 04:08:56.994095,2026-01-07 04:08:57.064002,0 days 00:00:00.069907,46,39,COMPLETE
2805,3.1118036734607606,2026-01-07 04:11:45.073834,2026-01-07 04:11:45.120978,0 days 00:00:00.047144,35,38,COMPLETE
2808,3.1118036734607606,2026-01-07 04:11:45.635487,2026-01-07 04:11:45.688203,0 days 00:00:00.052716,40,39,COMPLETE
163,3.1118036734607606,2026-01-07 04:03:30.506788,2026-01-07 04:03:30.550067,0 days 00:00:00.043279,50,39,COMPLETE
170,3.1118036734607606,2026-01-07 04:03:31.724802,2026-01-07 04:03:31.770041,0 days 00:00:00.045239,50,39,COMPLETE
172,3.1118036734607606,2026-01-07 04:03:32.098827,2026-01-07 04:03:32.144235,0 days 00:00:00.045408,50,39,COMPLETE
3878,3.1118036734607606,2026-01-07 04:15:24.504886,2026-01-07 04:15:24.559053,0 days 00:00:00.054167,43,38,COMPLETE
3879,3.1118036734607606,2026-01-07 04:15:24.684443,2026-01-07 04:15:24.736450,0 days 00:00:00.052007,36,38,COMPLETE
1926,3.1118036734607606,2026-01-07 04:08:53.051343,2026-01-07 04:08:53.097429,0 days 00:00:00.046086,50,39,COMPLETE
1930,3.1118036734607606,2026-01-07 04:08:53.838812,2026-01-07 04:08:53.937634,0 days 00:00:00.098822,35,39,COMPLETE
1911,3.1118036734607606,2026-01-07 04:08:50.199957,2026-01-07 04:08:50.246412,0 days 00:00:00.046455,37,39,COMPLETE
1913,3.1118036734607606,2026-01-07 04:08:50.547322,2026-01-07 04:08:50.613795,0 days 00:00:00.066473,42,38,COMPLETE
1914,3.1118036734607606,2026-01-07 04:08:50.755843,2026-01-07 04:08:50.816102,0 days 00:00:00.060259,46,38,COMPLETE
2819,3.1118036734607606,2026-01-07 04:11:47.729136,2026-01-07 04:11:47.780229,0 days 00:00:00.051093,42,39,COMPLETE
2820,3.1118036734607606,2026-01-07 04:11:47.905205,2026-01-07 04:11:47.968784,0 days 00:00:00.063579,37,38,COMPLETE
2831,3.1118036734607606,2026-01-07 04:11:50.118963,2026-01-07 04:11:50.170548,0 days 00:00:00.051585,50,38,COMPLETE
1892,3.1118036734607606,2026-01-07 04:08:46.455929,2026-01-07 04:08:46.508719,0 days 00:00:00.052790,44,38,COMPLETE
1893,3.1118036734607606,2026-01-07 04:08:46.697436,2026-01-07 04:08:46.754904,0 days 00:00:00.057468,46,38,COMPLETE
1898,3.1118036734607606,2026-01-07 04:08:47.770702,2026-01-07 04:08:47.836075,0 days 00:00:00.065373,42,38,COMPLETE
1900,3.1118036734607606,2026-01-07 04:08:48.137375,2026-01-07 04:08:48.185989,0 days 00:00:00.048614,47,39,COMPLETE
179,3.1118036734607606,2026-01-07 04:03:33.255791,2026-01-07 04:03:33.298927,0 days 00:00:00.043136,44,38,COMPLETE
180,3.1118036734607606,2026-01-07 04:03:33.441065,2026-01-07 04:03:33.492231,0 days 00:00:00.051166,50,39,COMPLETE
188,3.1118036734607606,2026-01-07 04:03:34.729376,2026-01-07 04:03:34.775210,0 days 00:00:00.045834,36,38,COMPLETE
189,3.1118036734607606,2026-01-07 04:03:34.882785,2026-01-07 04:03:34.926116,0 days 00:00:00.043331,41,39,COMPLETE
2846,3.1118036734607606,2026-01-07 04:11:53.366505,2026-01-07 04:11:53.417368,0 days 00:00:00.050863,40,38,COMPLETE
1873,3.1118036734607606,2026-01-07 04:08:42.407049,2026-01-07 04:08:42.622702,0 days 00:00:00.215653,47,39,COMPLETE
1882,3.1118036734607606,2026-01-07 04:08:44.398468,2026-01-07 04:08:44.447411,0 days 00:00:00.048943,43,38,COMPLETE
1859,3.1118036734607606,2026-01-07 04:08:39.608742,2026-01-07 04:08:39.708937,0 days 00:00:00.100195,46,38,COMPLETE
1862,3.1118036734607606,2026-01-07 04:08:40.211791,2026-01-07 04:08:40.270803,0 days 00:00:00.059012,32,39,COMPLETE
2853,3.1118036734607606,2026-01-07 04:11:54.688593,2026-01-07 04:11:54.741049,0 days 00:00:00.052456,44,38,COMPLETE
1840,3.1118036734607606,2026-01-07 04:08:36.073337,2026-01-07 04:08:36.118928,0 days 00:00:00.045591,50,39,COMPLETE
1844,3.1118036734607606,2026-01-07 04:08:36.878320,2026-01-07 04:08:36.938418,0 days 00:00:00.060098,42,39,COMPLETE
1845,3.1118036734607606,2026-01-07 04:08:37.066231,2026-01-07 04:08:37.118754,0 days 00:00:00.052523,46,39,COMPLETE
1855,3.1118036734607606,2026-01-07 04:08:38.926003,2026-01-07 04:08:38.973533,0 days 00:00:00.047530,50,38,COMPLETE
2867,3.1118036734607606,2026-01-07 04:11:57.363623,2026-01-07 04:11:57.414626,0 days 00:00:00.051003,36,39,COMPLETE
2868,3.1118036734607606,2026-01-07 04:11:57.539096,2026-01-07 04:11:57.589939,0 days 00:00:00.050843,43,38,COMPLETE
2870,3.1118036734607606,2026-01-07 04:11:57.893679,2026-01-07 04:11:57.948933,0 days 00:00:00.055254,40,38,COMPLETE
2872,3.1118036734607606,2026-01-07 04:11:58.307425,2026-01-07 04:11:58.363136,0 days 00:00:00.055711,47,38,COMPLETE
202,3.1118036734607606,2026-01-07 04:03:37.070967,2026-01-07 04:03:37.115399,0 days 00:00:00.044432,34,38,COMPLETE
2878,3.1118036734607606,2026-01-07 04:11:59.443874,2026-01-07 04:11:59.496362,0 days 00:00:00.052488,31,39,COMPLETE
1838,3.1118036734607606,2026-01-07 04:08:35.686119,2026-01-07 04:08:35.767325,0 days 00:00:00.081206,38,38,COMPLETE
2880,3.1118036734607606,2026-01-07 04:11:59.799858,2026-01-07 04:11:59.940571,0 days 00:00:00.140713,42,38,COMPLETE
2881,3.1118036734607606,2026-01-07 04:12:00.212501,2026-01-07 04:12:00.275242,0 days 00:00:00.062741,47,38,COMPLETE
2884,3.1118036734607606,2026-01-07 04:12:00.913217,2026-01-07 04:12:00.969826,0 days 00:00:00.056609,50,39,COMPLETE
1814,3.1118036734607606,2026-01-07 04:08:31.252350,2026-01-07 04:08:31.299935,0 days 00:00:00.047585,43,38,COMPLETE
1815,3.1118036734607606,2026-01-07 04:08:31.466490,2026-01-07 04:08:31.528159,0 days 00:00:00.061669,47,38,COMPLETE
1823,3.1118036734607606,2026-01-07 04:08:33.136119,2026-01-07 04:08:33.182293,0 days 00:00:00.046174,36,39,COMPLETE
1792,3.1118036734607606,2026-01-07 04:08:27.285066,2026-01-07 04:08:27.333244,0 days 00:00:00.048178,38,39,COMPLETE
218,3.1118036734607606,2026-01-07 04:03:39.875928,2026-01-07 04:03:39.918887,0 days 00:00:00.042959,45,39,COMPLETE
220,3.1118036734607606,2026-01-07 04:03:40.187627,2026-01-07 04:03:40.231749,0 days 00:00:00.044122,46,38,COMPLETE
221,3.1118036734607606,2026-01-07 04:03:40.345258,2026-01-07 04:03:40.396677,0 days 00:00:00.051419,46,39,COMPLETE
1795,3.1118036734607606,2026-01-07 04:08:27.854061,2026-01-07 04:08:27.899207,0 days 00:00:00.045146,46,38,COMPLETE
1796,3.1118036734607606,2026-01-07 04:08:28.020573,2026-01-07 04:08:28.077158,0 days 00:00:00.056585,39,39,COMPLETE
1806,3.1118036734607606,2026-01-07 04:08:29.835309,2026-01-07 04:08:29.882237,0 days 00:00:00.046928,46,38,COMPLETE
2899,3.1118036734607606,2026-01-07 04:12:04.236605,2026-01-07 04:12:04.289871,0 days 00:00:00.053266,44,39,COMPLETE
2900,3.1118036734607606,2026-01-07 04:12:04.408028,2026-01-07 04:12:04.459754,0 days 00:00:00.051726,37,38,COMPLETE
2901,3.1118036734607606,2026-01-07 04:12:04.580308,2026-01-07 04:12:04.634747,0 days 00:00:00.054439,50,39,COMPLETE
1783,3.1118036734607606,2026-01-07 04:08:25.156193,2026-01-07 04:08:25.206114,0 days 00:00:00.049921,36,39,COMPLETE
1784,3.1118036734607606,2026-01-07 04:08:25.317004,2026-01-07 04:08:25.366843,0 days 00:00:00.049839,44,38,COMPLETE
1788,3.1118036734607606,2026-01-07 04:08:26.449961,2026-01-07 04:08:26.526534,0 days 00:00:00.076573,46,38,COMPLETE
1789,3.1118036734607606,2026-01-07 04:08:26.751559,2026-01-07 04:08:26.809308,0 days 00:00:00.057749,42,38,COMPLETE
1760,3.1118036734607606,2026-01-07 04:08:21.006200,2026-01-07 04:08:21.055164,0 days 00:00:00.048964,39,38,COMPLETE
1761,3.1118036734607606,2026-01-07 04:08:21.176733,2026-01-07 04:08:21.223107,0 days 00:00:00.046374,50,38,COMPLETE
1765,3.1118036734607606,2026-01-07 04:08:21.983189,2026-01-07 04:08:22.028090,0 days 00:00:00.044901,45,38,COMPLETE
3842,3.1118036734607606,2026-01-07 04:15:15.815838,2026-01-07 04:15:15.875405,0 days 00:00:00.059567,41,38,COMPLETE
3853,3.1118036734607606,2026-01-07 04:15:18.419398,2026-01-07 04:15:18.481234,0 days 00:00:00.061836,46,38,COMPLETE
1775,3.1118036734607606,2026-01-07 04:08:23.793292,2026-01-07 04:08:23.840699,0 days 00:00:00.047407,47,39,COMPLETE
2917,3.1118036734607606,2026-01-07 04:12:07.720049,2026-01-07 04:12:07.771364,0 days 00:00:00.051315,43,38,COMPLETE
2921,3.1118036734607606,2026-01-07 04:12:08.485097,2026-01-07 04:12:08.538639,0 days 00:00:00.053542,50,38,COMPLETE
1751,3.1118036734607606,2026-01-07 04:08:19.222385,2026-01-07 04:08:19.270999,0 days 00:00:00.048614,33,39,COMPLETE
1754,3.1118036734607606,2026-01-07 04:08:19.860387,2026-01-07 04:08:19.906040,0 days 00:00:00.045653,50,38,COMPLETE
1756,3.1118036734607606,2026-01-07 04:08:20.202523,2026-01-07 04:08:20.256912,0 days 00:00:00.054389,39,38,COMPLETE
1759,3.1118036734607606,2026-01-07 04:08:20.771835,2026-01-07 04:08:20.842310,0 days 00:00:00.070475,47,39,COMPLETE
1730,3.1118036734607606,2026-01-07 04:08:15.238715,2026-01-07 04:08:15.283631,0 days 00:00:00.044916,50,39,COMPLETE
1736,3.1118036734607606,2026-01-07 04:08:16.394127,2026-01-07 04:08:16.448909,0 days 00:00:00.054782,47,39,COMPLETE
1742,3.1118036734607606,2026-01-07 04:08:17.547548,2026-01-07 04:08:17.598290,0 days 00:00:00.050742,43,38,COMPLETE
