number,value,datetime_start,datetime_complete,duration,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
63,0.8754952628707738,2026-01-04 02:52:55.030089,2026-01-04 02:52:56.880733,0 days 00:00:01.850644,2.699399541792916,4.724576909236226,1.680638400321984,COMPLETE
67,0.8754952628707738,2026-01-04 02:53:02.328478,2026-01-04 02:53:04.026311,0 days 00:00:01.697833,2.7177468641659197,4.222111572178323,1.6286550571357081,COMPLETE
65,0.8754952628707738,2026-01-04 02:52:58.754986,2026-01-04 02:53:00.439564,0 days 00:00:01.684578,2.749736004339678,4.5667664002661885,1.6192127018830424,COMPLETE
41,0.8754952628707738,2026-01-04 02:52:15.684611,2026-01-04 02:52:17.469226,0 days 00:00:01.784615,2.8304132327266003,3.1394950763672167,1.7817633678478388,COMPLETE
40,0.8754952628707738,2026-01-04 02:52:13.344096,2026-01-04 02:52:15.465537,0 days 00:00:02.121441,2.850919841451662,4.515483248409072,1.7520233335561601,COMPLETE
33,0.8754952628707738,2026-01-04 02:52:00.113776,2026-01-04 02:52:01.776516,0 days 00:00:01.662740,2.7921615199477485,4.566810247298031,1.601764100397435,COMPLETE
53,0.8754952628707738,2026-01-04 02:52:37.411692,2026-01-04 02:52:39.093291,0 days 00:00:01.681599,3.0948248391935955,4.056887186592093,1.7494817448646935,COMPLETE
49,0.8754952628707738,2026-01-04 02:52:30.377805,2026-01-04 02:52:32.043171,0 days 00:00:01.665366,2.6130649164210022,3.041561622822051,1.7667783980843894,COMPLETE
45,0.8754952628707738,2026-01-04 02:52:23.145544,2026-01-04 02:52:24.890129,0 days 00:00:01.744585,3.965372313555609,3.8925290382941036,1.7095461617224084,COMPLETE
43,0.8754952628707738,2026-01-04 02:52:19.584114,2026-01-04 02:52:21.245598,0 days 00:00:01.661484,2.112424304216654,4.6676732754955,1.5677874834812549,COMPLETE
42,0.8754952628707738,2026-01-04 02:52:17.587133,2026-01-04 02:52:19.472381,0 days 00:00:01.885248,2.5893304988968175,3.0135327181893667,1.547131711870104,COMPLETE
158,0.8754952628707738,2026-01-04 02:55:50.529026,2026-01-04 02:55:52.241467,0 days 00:00:01.712441,2.2591258687009215,4.925366648896444,1.5930340894116506,COMPLETE
153,0.8754952628707738,2026-01-04 02:55:41.600272,2026-01-04 02:55:43.330625,0 days 00:00:01.730353,3.3460143704825844,3.7278176441321866,1.7695588505525508,COMPLETE
185,0.8754952628707738,2026-01-04 02:56:39.875368,2026-01-04 02:56:41.612169,0 days 00:00:01.736801,2.533891674622944,4.336867583106834,1.6465682194529245,COMPLETE
186,0.8754952628707738,2026-01-04 02:56:41.818139,2026-01-04 02:56:43.534627,0 days 00:00:01.716488,2.9438156848671158,4.464466000678852,1.7092680223624748,COMPLETE
187,0.8754952628707738,2026-01-04 02:56:43.644864,2026-01-04 02:56:45.421252,0 days 00:00:01.776388,2.0801281709616344,3.2888524554426035,1.6895654498274768,COMPLETE
188,0.8754952628707738,2026-01-04 02:56:45.527251,2026-01-04 02:56:47.189075,0 days 00:00:01.661824,3.9941757442772214,4.2535717657750185,1.7960123472684564,COMPLETE
191,0.8754952628707738,2026-01-04 02:56:50.947608,2026-01-04 02:56:52.605531,0 days 00:00:01.657923,2.418471617195313,4.5033645918517395,1.6789533942586519,COMPLETE
197,0.8754952628707738,2026-01-04 02:57:01.855020,2026-01-04 02:57:03.526803,0 days 00:00:01.671783,2.4480525840582876,3.0288665108685278,1.7168155050445355,COMPLETE
183,0.8754952628707738,2026-01-04 02:56:35.322675,2026-01-04 02:56:37.393437,0 days 00:00:02.070762,2.5878615378234606,3.000164882187102,1.6869821681745767,COMPLETE
182,0.8754952628707738,2026-01-04 02:56:33.367870,2026-01-04 02:56:35.016476,0 days 00:00:01.648606,2.73416556616504,4.780920647575995,1.6663909168415838,COMPLETE
179,0.8754952628707738,2026-01-04 02:56:28.115469,2026-01-04 02:56:29.811717,0 days 00:00:01.696248,2.3051309654583303,4.57193183795681,1.610976658475512,COMPLETE
178,0.8754952628707738,2026-01-04 02:56:26.362919,2026-01-04 02:56:28.006712,0 days 00:00:01.643793,2.902530054995609,3.1324801422373363,1.7960338531164186,COMPLETE
181,0.8754952628707738,2026-01-04 02:56:31.651210,2026-01-04 02:56:33.263307,0 days 00:00:01.612097,2.7019512902343514,4.792649363298634,1.5865622697755342,COMPLETE
169,0.8754952628707738,2026-01-04 02:56:10.277476,2026-01-04 02:56:11.938414,0 days 00:00:01.660938,2.779303388525123,3.3591154651771307,1.8000460745329656,COMPLETE
