ticker,adapt_RSI_20260120_231930,adapt_RSI_20260126_140217,adapt_RSI_20260126_141318,adapt_RSI_20260126_143129,adapt_RSI_20260126_150435,adapt_RSI_20260127_204646,adapt_RSI_20260127_212111,adapt_RSI_20260127_213730,adapt_RSI_20260127_215341,adapt_RSI_20260128_153040,adapt_half_RSI_20260120_235614,adapt_half_RSI_20260126_104205,half_RSI_20260121_000047,half_RSI_v0.2_20260125_184151,vidya_RSI_20260121_001237
AXP,0.391134398196703,-0.0114154576936683,-0.0195648884572927,0.0194321325742858,-0.0195648884572927,-0.0027926928418898,-0.0282863409791835,0.0385791780943982,-0.0872340854462577,0.0333263375660339,0.1446796054661341,0.1521958524092779,0.22341533273488,0.2396297612447653,0.2438030622262901
AXSM,0.1678406149771656,-0.00119964,0.0,0.0,0.0,0.0,0.0,0.0851048742928519,0.1459686357597753,-0.0613495686516362,-0.0693998052157173,0.3236780960735452,0.4554570172351986,-0.0014658059680994,0.0227038607807397
BABA,0.1581416028489479,-0.1273473894313643,-0.122460122704525,-0.122460122704525,0.0,0.0,0.0,0.1477499554673691,0.0260269980103988,-0.0517838008725342,0.2363412869225489,0.2707703456782806,0.1251064971004325,0.3084937075209102,0.3056566614691589
BAC,0.2320311683685516,0.0579923431614477,0.0382817281420304,0.0492748534126104,0.0492748534126104,0.0685104615842671,0.0496599823928394,0.0303318134665466,-0.0404948704031488,0.0303318134665466,0.1692236690158099,0.1120002577089058,0.1939609620329214,-0.0563023796960914,0.2319881015906404
BBIO,0.1330928334405583,0.1537740733458037,0.1276071318618905,0.0678463862206482,0.116818645817881,-0.0120373102485074,0.1253361080166521,0.3119823231559795,0.2891830612683803,0.3119823231559795,0.7414095165735306,0.7561305876603199,0.2140218123365649,0.508745707533613,0.1632744909750108
BFH,0.2025865679958769,0.1712597978184591,0.1431351757261587,0.1089289313729018,0.1141177372817507,0.2154294958143718,0.2441934657505644,0.0834225941543742,0.0968187197919057,0.0834012218493078,0.0851166425214671,0.2445993604034204,0.2728588761118238,0.2761955124165738,0.2587679169910488
BLD,0.25629992197634,0.0877590296822876,0.0365238134717453,0.043995564511472,0.0427433260574716,0.0757845280308133,0.0915139241856419,0.0156006052095267,-0.1152984893535765,0.0149522575398655,-0.234884000850025,0.1179205160834249,-0.1126697675481909,0.2194837470527788,0.0074447417639851
BLOK,0.1429681996385152,-0.1339405723156348,-0.1339405723156348,-0.1339405723156348,-0.1042169299369205,-0.0677863306666667,-0.0588860651932346,-0.0409975977892032,-0.065618197971196,-0.0409975977892032,0.5830392077047735,0.5628030355078706,0.4682948938053568,0.5611513222406042,0.2902488214144714
BLTE,0.0797316584987624,0.3114921103671193,-0.0010989781570196,0.1388472987576254,-0.0185408398072353,-0.0311408694297817,-0.0206743061326659,0.102450272213574,0.0107514690733561,0.1024309810902963,1.2139845770490625,1.0112679589132192,1.0801545783529862,0.6454839703103521,0.1826193921786028
BOOT,0.29394132188829,-0.0776149306938085,-0.0401317073980261,-0.0401317073980261,-0.0811929496673392,0.0436506971260126,-0.0537773379099244,-0.0972814877756724,-0.0739813414592371,-0.0541156816507089,0.331113006036511,0.5144139031321062,0.4203706329495824,0.3241368890409015,-0.0379425001246526
